Comp1	Comp2	Comp3
Otu1	0.0823389475240502	0.154772037284941	0.0199249382513552
Otu10	0.00628143476384481	-0.00186230831607989	-0.00912961687223265
Otu100	-0.00443283283111161	-0.000744220730441694	-0.0118500556641215
Otu101	-0.0287710729809589	-0.00179811184272707	-0.00815138423621315
Otu102	-0.0215606901406964	0.0127417933894755	-0.0160373584515226
Otu103	0.014105916559404	-0.00563976759327696	-0.000108429145402165
Otu104	0.0100284685886617	0.0104206282724108	-0.000417235253588843
Otu105	-0.000978374602151313	0.000248329443782972	-0.0016723934176543
Otu106	0.0184319352213562	-0.0198266776596506	-0.00311744807938555
Otu107	-0.0341059682875313	-0.00448036586387816	0.00683228801475785
Otu108	0.032296613274431	-0.0039049183319769	0.00190349590783696
Otu109	0.00252271383299115	-0.00841630354930778	0.000418761454959459
Otu11	-0.0497500113729122	0.0436922746332672	-0.0753534643417648
Otu110	0.00347601196200899	-0.00278889122848949	0.0290755388493142
Otu111	-0.00974267510489613	-0.00570738868691248	0.00116323479393666
Otu112	-0.00419158328372159	-0.00747306401588622	0.0059190402826675
Otu113	-0.0111136324929777	-0.00938963179028917	0.00976631929951938
Otu114	-8.87791876477608e-06	0.00545655839797158	-0.0128023855265902
Otu115	0.0231589047676525	-0.0249113364529831	-0.00391693451184336
Otu116	-0.0236863134145214	-0.00604172224421528	0.00905743105313405
Otu117	-0.0051660252535021	0.0103904290802674	-0.0113435576455231
Otu118	-0.00518538746482911	-0.00755512434764437	-0.00673675263496056
Otu119	0.0316013612252841	0.00448522646685903	0.00361394120386925
Otu12	0.0660066757173657	0.038152726168802	-0.0336746921247867
Otu120	-0.0123163796586147	0.000667429778293755	-0.00853903996233501
Otu121	-0.0172217498134598	-0.00671265124623364	0.00493286791198083
Otu122	-0.00222827587908067	-0.00190759337286179	-0.000137424573053188
Otu123	-0.0255322279468875	-0.00148624245906594	-0.00856001394558681
Otu124	0.0263974447727182	-0.0136730501568862	-0.00094795440169894
Otu125	0.00238107934458314	-0.00301532500987966	0.00494268041096085
