CS1	CS2	CS3
Otu1	0.191417178126786	0.510434931948806	0.0876675393517601
Otu10	0.0146027433339668	-0.00614185375641121	-0.0401693112578911
Otu100	-0.0103052125045843	-0.00245442435572861	-0.0521389430747298
Otu101	-0.0668854505346494	-0.00593013513409397	-0.0358651951280667
Otu102	-0.0501231384332747	0.0420221672839314	-0.0705626153221084
Otu103	0.0327926798178267	-0.0185998352039622	-0.000477076327740965
Otu104	0.0233136470151508	0.0343670134243901	-0.00183578927831576
Otu105	-0.00227447290894773	0.000818985295805621	-0.00735834730849722
Otu106	0.0428495764590283	-0.0653879669706934	-0.0137164290663743
Otu107	-0.0792877296005516	-0.0147761526239011	0.0300613166696064
Otu108	0.075081437909295	-0.0128783387362066	0.0083751728763757
Otu109	0.00586467009420454	-0.0277567925370288	0.00184250439667795
Otu11	-0.115656163639896	0.14409620510494	-0.331546964770333
Otu110	0.00808084656059475	-0.00919770476242972	0.127929176697574
Otu111	-0.0226492496207895	-0.0188228481521255	0.00511810530031845
Otu112	-0.00974436846935697	-0.024646008344358	0.026043126977827
Otu113	-0.0258363779780227	-0.0309668086559904	0.0429707319898086
Otu114	-2.06389103661534e-05	0.0179956151214551	-0.0563290898466105
Otu115	0.0538385822558174	-0.0821570649982611	-0.0172340815375897
Otu116	-0.0550646736492473	-0.019925473210009	0.0398517015841932
Otu117	-0.0120096990050577	0.0342674171222609	-0.0499104074367816
Otu118	-0.0120547112376154	-0.0249166415969239	-0.0296409714940175
Otu119	0.0734651531578329	0.0147921827905597	0.0159009442693558
Otu12	0.153448786792636	0.125826890485266	-0.148164945846563
Otu120	-0.0286324602133341	0.00220116940656906	-0.0375708377351353
Otu121	-0.0400362021962341	-0.0221381829830104	0.0217040768877264
Otu122	-0.00518017649833355	-0.0062912029236268	-0.000604653023967076
Otu123	-0.0593559569540956	-0.0049015964495969	-0.0376631209572409
Otu124	0.0613673667212651	-0.045093432565689	-0.00417089522518162
