Comp1	Comp2	Comp3
Otu1	0.267749003213502	0.00843030825414527	-0.000707865677883529
Otu10	-0.0597328430830444	0.0339791050235221	0.00521379300290432
Otu100	0.0351737003322122	0.00477477319738872	0.0209686417813286
Otu101	-0.00605912824022434	-0.00338854108874967	0.00211291385795915
Otu102	-0.0212992260354285	-0.0150154883403986	-0.0154056816677511
Otu103	0.025334979495584	-0.00120121556304481	-0.0229707143015336
Otu104	-0.0108247072570664	-0.0275392604978037	-0.00647268820185789
Otu105	-0.0174164043905986	-0.0260689695961693	0.00545272111366662
Otu106	0.0260752784774509	0.00244455612212703	0.0226477874801373
Otu107	-0.00164254989792003	0.00126986782001552	0.00179994707368341
Otu108	0.00867254485307124	-0.000939292223977363	-0.0145044494496225
Otu109	0.0116957104656331	-0.0136185988326576	-0.0163984004266839
Otu11	-0.0872939103796491	-0.0768652151933483	0.0167316791813671
Otu110	0.0208604709086558	-0.00333217229698822	0.0103874851463064
Otu111	-0.0212427174204386	0.0113450683515545	0.00770320316636868
Otu112	-0.00886967669604384	-0.00991637019905174	-0.00312829125311213
Otu113	-0.00259005193344211	0.00456458759655267	-0.00152719007767828
Otu114	9.30131970148336e-06	-0.00211437200975851	-0.00609795221778606
Otu116	-0.0191409058985423	0.00255656165806583	0.00468418861291305
Otu117	-0.0053518042575273	-0.0246102379564947	-0.00456662945701854
Otu118	0.0136505181807979	-0.00742584684494353	0.0090216207129566
Otu119	0.0192895041026486	0.00396828750143033	-0.0098603199697728
Otu12	-0.00806108233971459	-0.0609082741314095	0.019931394772593
Otu120	-0.0157687154070402	0.0209115716297074	-0.00466877880101623
Otu121	-0.00315649040361999	-0.00472465214501957	0.00098823278806018
Otu122	-0.0155682945878138	0.0242910000129109	0.00313159031247169
Otu123	-0.0124363456608551	0.0171080283336263	0.000887934906227318
Otu124	0.00410427414975716	-0.000121565337988446	-0.00280283123459434
Otu125	0.0032685522539321	0.00884821542556955	-0.0129187241065378
Otu126	0.00810602324609659	-0.00444253921134292	0.000115907494415651
Otu128	0.0100616781575658	-0.000402591323598291	-0.00818625132125594
Otu129	0.00240631944766351	0.00495798835777432	-0.00737179256144459
Otu13	0.00382586146250413	0.00206556416050448	0.00487694968751042
Otu130	-0.00472078810397261	-0.00935402624759957	-0.000402514849318053
Otu131	-0.00166548834599369	-0.00549305630213049	-0.00286611523501008
Otu132	0.00249070372781225	0.00147561792635073	0.000172647865082074
Otu133	0.000711008061465527	0.00491068094487405	0.00745077050352084
Otu134	0.0150410530661389	-0.000762137110919694	0.0219870911101378
Otu135	0.00779944315366686	-0.000810176726743322	-0.0126096956693853
Otu136	0.000491367827378586	-0.0068933746035221	-0.0162757012702608
Otu137	0.00405755887664102	-0.000814009359792787	-0.00749981218550391
Otu138	-0.0087303002035585	-0.0128264971209991	-0.0109381200819216
Otu139	-0.009849370753574	-0.0160351780846167	-0.00432065518556782
Otu14	-0.0553159243526696	-0.0935566576216055	0.0113465046824629
Otu140	0.011136954203003	0.00210766295864207	-0.00511073510433162
Otu141	0.00706159001019014	0.0119540663680888	-0.00218877518157936
Otu142	0.0200866256286581	0.00140053587228059	0.0111708748552524
Otu143	0.00452372184211162	-0.00275818895436721	-0.00178184382425375
Otu144	-0.0042446841082828	0.000889945423900429	0.00344461604512396
Otu145	0.00136418754841065	0.0052226857258838	-0.00618180611983543
Otu146	-0.00485926840232333	-0.00754943015995259	-0.0114381955271365
Otu147	0.00656103763517903	-0.00630963134134347	0.00373167210790021
Otu148	0.00904933823146608	-0.0049388163754876	0.00673962170098934
Otu149	0.00104117675445088	0.00260347402869606	-0.00207018598876348
