RS1	RS2	RS3	RS4	RS5	RS6	RS7	RS8	RS9	RS10	RS11	RS12	RS13	RS14	RS15
912A	-1.35928948630292	-0.703468004173486	-1.01988907724354	0.718298313720729	0.618187802594759	2.2626705860183	1.0793028722506	0.911372922635633	-0.557594111570775	-0.172431180739352	0.453428045719671	-1.17333195377566	1.17935562713255	-0.294572634325292	0.451007454479796
913A	-1.00379822651101	0.943516406853751	-1.47173839060073	-0.74430446642664	0.548364200285401	0.616901623067946	0.690811024846724	-0.731106511291844	-0.473469136079225	0.757470494423226	-1.73887399350182	1.5816980831264	-1.34130357087281	0.213285122239205	-0.72193032416574
914A	-1.22477702318778	-0.813132330752133	-1.60356259287069	1.32333037197411	-2.01745659781268	-1.82135587841114	-0.177667075210853	-0.167494017811915	0.258690328492007	-0.954643796656695	-0.0125052305960316	0.256889890597008	0.126344764485597	-0.0930332907815663	0.000379573322363436
916A	-1.03043536523067	0.343119244409655	-0.248683776165971	-1.16800897604889	1.90988512071279	-2.34378747198329	-0.147017463285553	0.646578111593264	-0.491771444185603	0.945721224658541	0.866737236225618	-0.760424455023606	0.566496047125262	0.05544794976012	0.15494016072401
9211A	1.16767690756527	-0.432691391495099	-0.297834250794333	-0.778778480417768	-0.38199798370961	0.110965481455825	1.01258563504823	-0.252569042714946	-0.461801223137016	-0.668572170821336	1.19885742293478	-0.0440442028656876	-0.106856302795134	2.99235708149566	-0.664592918436642
927A	0.46041126933393	1.89771032594387	-0.360428677524551	0.5477704176691	0.553420179195556	0.0813542688304456	0.0785666245827954	-0.522039650157245	2.72076452022056	-0.640494597332051	-0.364420181444404	-1.34861819829095	0.291495611182086	0.157777997680207	-0.539384456755992
928A	0.837841943294536	-0.845859967102531	0.430267154430724	-1.43264692747732	-0.471118918763291	-0.332962017691444	2.19009344810107	-0.107484685592279	0.516963349790041	-0.55392017452808	0.446397780408422	-0.0933636165058039	-0.778463596114775	-2.19101860879566	-0.124182199380143
929A	1.01772666673909	0.770342554147191	0.0507194436889097	1.03477279680947	1.0019223326551	-0.103722681679595	-0.581916156153077	-1.81409042772863	-2.08386614991392	-1.52559991603173	0.30468642213246	-0.0367953208862526	0.162022578330047	-0.918566538882269	0.138432588972864
934A	-0.826855222127016	1.91487595037182	0.841720296702095	-0.109118871858308	-1.43142636762225	0.722008955479599	-0.836786828563658	0.97345345617522	-0.470065862773236	0.274946823242092	1.8651359294289	0.0794776457284169	-1.32473212460741	-0.370721253603197	-0.192620073009314
935A	-0.794256213026387	-1.73994079311678	1.51047844270095	0.518248049616319	0.583729982602637	0.108520993698701	-0.903336578171956	-0.222270866086228	0.0715066252996941	-0.146720361078569	-0.908997473030302	-1.41696329765945	-1.90877956552764	0.409263201363544	-0.949768853570456
936A	-0.51588218597517	0.795692897968752	1.92420274183785	-0.539128630571954	-1.35144799469308	-0.255749089728458	0.679304004300828	-0.278506648273254	-0.729686181055979	0.173766937049173	-1.86283094606548	-0.467425464218356	1.55289270261026	0.528449532120499	0.857138334456819
937A	-0.986341454067258	-0.783673427856299	1.33518532660135	0.150278674334295	0.793291342646688	0.424197532322482	-0.345580147696789	-0.958588001258945	1.39187380157886	-0.194405828554998	1.03211776899525	2.38319909629473	0.922870836601131	0.147521722932325	0.408224320200896
9410A	0.815279192081627	-0.330193905542088	-0.540853251542259	-1.47413387317352	0.175306704534657	0.393076024939405	-1.82829638456571	1.86663698001443	0.169251070768605	-1.69951020642163	-1.01901170977371	0.57822280109482	0.23558330629808	-0.144603486609781	0.618336008456805
9411A	1.28297791551657	-0.208673534404136	0.320368667587198	1.19927581892081	-0.0554547516978191	-0.169820448333106	-0.0411393721809693	1.29188778068883	-0.317606819170479	1.25836861604815	-0.317976036612963	0.772847031814003	1.17756133083949	-0.53060628674264	-2.45275010386712
947A	1.27117705727831	-0.00478478474067019	0.0676961142657634	1.66070005971718	0.444008775078318	-0.365480421156043	0.642358665315707	0.947235462665769	0.207206769521334	1.06625959440462	-0.267697581586724	0.458387875407288	-1.20071284839837	0.421640494952532	2.42896304554521
949A	0.888544224618883	-0.802839240511814	-0.937648171072763	-0.90655427678762	-0.919213826007162	0.673182543170377	-1.5112822686174	-1.58301486285785	0.249604462215127	2.07976454233864	0.324952546766321	-0.769755914836847	0.446225203711647	-0.382621002803714	0.587807443026667
