Group	D	A	A	B	D	C	A	C	C	C	B	B	B	A	D	D
Sample	642A	711A	612A	621A	742A	631A	611A	732A	632A	731A	722A	721A	622A	712A	741A	641A
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus	0.664262	0.562213	1.648513	6.763305	3.460194	1.694470	0.620715	2.423673	3.925679	1.779109	3.824315	0.415780	0.960796	0.581846	1.291753	2.792384
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea	0.118266	0.106996	0.277685	0.163562	0.121755	0.109190	0.155179	0.134876	0.225894	0.500563	0.421677	0.055703	0.089376	0.031773	0.223768	0.015934
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	0.035480	0.003891	0.956255	0.000000	0.045167	0.012132	0.718930	0.320840	0.000000	1.003136	0.008350	0.005968	0.069064	0.196596	0.010171	0.007967
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Ruminococcus	1.328524	0.780095	1.011010	1.609045	1.838105	2.529572	0.451787	1.074917	2.187716	1.290608	2.056196	1.074263	1.365021	3.433485	1.088327	0.956023
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	2.278595	1.468757	1.566381	2.647666	4.165194	1.700536	0.793572	3.259493	2.594733	3.140077	7.005678	3.909125	2.642697	2.434617	6.155661	2.750558
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Clostridium	0.159659	0.270407	0.285508	0.212631	1.521936	0.552017	0.275000	0.423019	0.724490	0.522676	0.611640	1.499990	0.615478	0.196596	0.272590	0.340583
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillospira	2.118936	1.198350	1.280873	2.435035	2.643258	1.148519	0.518572	2.836474	1.870243	2.617401	6.394038	2.409135	2.027219	2.238021	5.883071	2.409975
Bacteria|Firmicutes|Erysipelotrichi	9.786529	11.510777	26.194341	9.245364	0.380975	8.725104	35.374885	2.055830	10.427775	4.627694	2.500835	0.515249	12.811294	10.471235	0.911347	16.937540
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales	9.786529	11.510777	26.194341	9.245364	0.380975	8.725104	35.374885	2.055830	10.427775	4.627694	2.500835	0.515249	12.811294	10.471235	0.911347	16.937540
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae	9.786529	11.510777	26.194341	9.245364	0.380975	8.725104	35.374885	2.055830	10.427775	4.627694	2.500835	0.515249	12.811294	10.471235	0.911347	16.937540
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Allobaculum	9.786529	11.510777	26.194341	9.245364	0.380975	8.725104	35.374885	2.055830	10.427775	4.627694	2.500835	0.515249	12.811294	10.471235	0.911347	16.937540
Bacteria|Proteobacteria	7.026985	7.186211	2.718188	2.271472	2.427242	1.846123	3.078041	8.047574	3.72217	5.057897	3.701152	2.228102	7.395896	13.185852	1.588755	1.226896
Bacteria|Proteobacteria|Betaproteobacteria	0.601187	0.433818	0.449772	0.750342	0.066769	0.289152	0.530358	0.470021	0.132281	0.034175	0.444639	0.314322	1.135486	1.229223	0.111884	0.155354
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0.601187	0.433818	0.449772	0.750342	0.066769	0.289152	0.530358	0.470021	0.132281	0.034175	0.444639	0.314322	1.135486	1.229223	0.111884	0.155354
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae	0.601187	0.433818	0.449772	0.750342	0.066769	0.289152	0.530358	0.470021	0.132281	0.034175	0.444639	0.314322	1.135486	1.229223	0.111884	0.155354
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Sutterella	0.601187	0.433818	0.449772	0.750342	0.066769	0.289152	0.530358	0.470021	0.132281	0.034175	0.444639	0.314322	1.135486	1.229223	0.111884	0.155354
Bacteria|Proteobacteria|Deltaproteobacteria	6.005953	6.184344	0.799812	1.085645	2.332980	0.887676	2.545719	7.299628	3.243925	4.474912	2.786824	0.238725	1.667682	4.694481	1.314130	1.037683
