Comp1	Comp2	Comp3
Otu1	0.133288810278249	0.00681455521029773	-0.0769390940449655
Otu10	-0.000773835116679899	-0.00349463203733551	-0.0054550815885
Otu100	0.0134565862199033	-0.0150351485982619	0.0235349665845843
Otu102	-0.000615350613210628	0.00150944720584867	0.000967490027396946
Otu103	0.0152432494839925	0.00695725985436996	-0.0025954209645065
Otu104	-0.0147362729784028	-0.0192132478197763	0.00435132199817615
Otu105	0.0136415027607512	-0.00407353269496595	0.0168110512584329
Otu106	0.00711198221507975	0.0285946638817822	-0.0153202126951568
Otu107	-0.000316265851059355	0.00237780390403725	-0.00614232052010492
Otu108	0.00710774441388679	-0.0182910454673092	0.0122716997198922
Otu109	0.0159416460617124	0.00686937998867524	-0.0073196031087007
Otu11	-0.01218855858716	-0.0131923149369447	-0.00660384200831024
Otu110	-0.00150729501527477	0.00369737544799905	0.00236985689835383
Otu111	-0.0124191305492295	-0.0131383290271038	0.00391487304542306
Otu112	0.0244177227909075	-0.0143680739621642	0.0183337133843618
Otu113	0.000853230603645271	0.00494564317622984	0.00212562063528217
Otu116	0.00310625956377928	0.00390538204054372	-0.00042739824604712
Otu117	0.00249320754046082	0.00585629986156653	0.0123859637991049
Otu118	2.01876072751998e-05	-0.00197478570858479	-0.00184846286316155
Otu119	0.000299177162725464	0.00917857953984268	-0.00523649364830062
Otu121	0.00168552137246664	-0.00100413724203889	0.00130147928950046
Otu122	0.0320157427689418	0.023562767047966	-0.0622385952373797
Otu123	-0.00118622729573002	0.0187610284549482	0.0129596074681544
Otu124	-0.0202193564573061	-0.0132473612186286	-0.00660628343319765
Otu125	0.011652050199572	-0.00777466348398146	0.00852013400254844
Otu126	-0.0224799809213404	0.0109150439006667	-0.000519707928012161
Otu127	-0.00868213989450824	-0.0223777457500314	0.00346528620593271
Otu129	-0.00215274814876778	-0.00331754729226584	-0.0123989643785696
Otu13	-0.000443022919687832	0.000101130035636545	0.000146028788843921
Otu130	0.00500509052720533	-0.00227347378994485	-0.00298271841641347
Otu131	-0.000870237182817071	0.00213468071019736	0.00136823751820548
Otu132	-0.00773402860146923	-0.00167599123864148	-0.0145329150261936
Otu133	0.0229270374233919	2.19561208027567e-05	-0.00300251067337253
Otu134	-0.000567494670407552	0.0014422333265831	-0.0070243157069222
Otu137	-0.00505076798260898	0.00508784854056887	0.00132440049481733
Otu138	-0.000267566314512372	0.00244362506849656	-0.00440856347307755
Otu14	-0.0278199723402944	0.0183127244275191	-0.00511501984272737
Otu140	-0.000941193813138119	0.00787369995522988	-0.00156194815997671
Otu141	0.00359689776424278	0.0118821231627415	0.0119239945527334
Otu142	0.00290720048682209	-0.00275183751216423	0.00667561181331171
Otu143	-0.00431045231459625	0.00164467667443053	0.00176165590849938
Otu145	0.0236747020182842	-0.00688535036499123	0.002368928892255
Otu146	-0.00112728571134462	0.00191901831602962	-0.00498498752614051
Otu147	0.0113956271170596	0.00601302264219272	-0.0185929898888862
Otu148	-0.00168308205039062	-0.00126073297234228	0.00139606060647305
Otu149	-0.000755268314400293	0.023618680617165	0.00516383750101175
Otu15	0.00065433251862672	0.0038720683330013	-0.00192456410965451
Otu150	0.00771882446165909	-0.00273293675948937	0.00543077796541112
Otu151	0.00194315597402599	0.00711436925217576	-0.00109842712569641
Otu152	0.0113330935274049	0.00558949021773601	-0.0216718106052053
Otu153	0.00143575803154447	0.0080746605082097	-0.00454750151591043
Otu154	0.00175158033707136	0.00139060608527511	-0.000292545196723987
