CS1	CS2	CS3
Otu1	0.367308629261146	0.0227782795661344	-0.313340997389449
Otu10	-0.00213248445528526	-0.0116811300328023	-0.0222162832432423
Otu100	0.0370827845837085	-0.0502563714755815	0.0958481509911092
Otu102	-0.00169574317440123	0.005045466561513	0.00394018533636141
Otu103	0.0420063549352922	0.0232552830062343	-0.0105700723898395
Otu104	-0.0406092620739559	-0.0642220536346883	0.0177211285341406
Otu105	0.0375923655530694	-0.0136161588958158	0.0684644345487612
Otu106	0.0195987377582354	0.0955803024406669	-0.062392867835348
Otu107	-0.000871544850555835	0.00794802894806099	-0.0250151221813262
Otu108	0.0195870595014934	-0.0611395071804019	0.0499775397361396
Otu109	0.0439309507742636	0.022961536446517	-0.0298097055475436
Otu11	-0.0335884365534732	-0.044096529925258	-0.0268947076537831
Otu110	-0.0041537055120904	0.0123588185899816	0.00965144356608196
Otu111	-0.0342238317614958	-0.043916077040361	0.015943653092523
Otu112	0.0672887714226261	-0.048026612953771	0.0746656054248681
Otu113	0.00235127737140397	0.0165312686486528	0.00865677063394655
Otu116	0.00856002795823051	0.0130540998182299	-0.00174061566959234
Otu117	0.00687061908826761	0.0195752226452427	0.0504428899068263
Otu118	5.56316943698164e-05	-0.00660090344346712	-0.00752802205913545
Otu119	0.000824452955334554	0.0306802490150202	-0.0213260652851345
Otu121	0.00464485010871251	-0.00335642138277277	0.00530038498263901
Otu122	0.088226900417885	0.0787607229829486	-0.253471967013301
Otu123	-0.00326892798485614	0.0627104686816883	0.0527791024868843
Otu124	-0.0557191866997071	-0.0442805272008804	-0.0269046505640652
Otu125	0.0321099616535874	-0.0259875300596484	0.0346989696121199
Otu126	-0.0619488684818856	0.0364845413638014	-0.0021165546922006
Otu127	-0.023925676109255	-0.0747996799532602	0.0141126724909481
Otu129	-0.00593240325288879	-0.0110892079328831	-0.0504958358712501
Otu13	-0.00122085373124801	0.000338036475334639	0.000594714649449677
Otu130	0.0137927027560523	-0.00759929591521799	-0.0121473741682565
Otu131	-0.00239814299553982	0.00713536723979164	0.0055722635409459
Otu132	-0.0213129327086186	-0.00560215535806033	-0.0591865311881922
Otu133	0.063180837696916	7.33903596638645e-05	-0.01222797981631
Otu134	-0.00156386488157003	0.0048207979682757	-0.0286071225156231
Otu137	-0.0139185777150787	0.0170066032001762	0.00539373353872102
Otu138	-0.000737341836984151	0.00816804226355325	-0.0179542493040208
Otu14	-0.0766644693209034	0.0612119711052108	-0.0208313528912925
Otu140	-0.00259368065969787	0.0263185686028436	-0.0063611665875827
Otu141	0.00991209678155627	0.0397170930292225	0.0485614809011951
Otu142	0.00801147390822061	-0.0091982707951256	0.0271869962823503
Otu143	-0.0118784639750682	0.00549748353780554	0.00717449336099028
Otu145	0.0652412031313713	-0.0230149189029321	0.0096476641823993
Otu146	-0.00310650060237829	0.00641449578822112	-0.0203017852342003
Otu147	0.031403327610175	0.0200990830002209	-0.0757215310181675
Otu148	-0.00463812798368042	-0.00421411628727584	0.00568557543181794
Otu149	-0.00208131926984435	0.0789476192471141	0.0210301669522965
Otu15	0.00180316697250162	0.0129427456769297	-0.00783795085118423
Otu150	0.0212710341295774	-0.00913509328534657	0.022117304673331
Otu151	0.00535482277747186	0.0237804356648084	-0.00447343779385014
Otu152	0.0312310016133347	0.0186833867923423	-0.0882602899678233
Otu153	0.0039565685477751	0.0269902977937117	-0.0185200862878973
Otu154	0.00482689110441738	0.00464822915058313	-0.00119141516885309
Otu155	-0.040383955664834	-0.0389567774700574	-0.0253490966465307
Otu157	0.00833220645402278	0.0431959558768712	0.0104965286050622
Otu159	-0.0248338064516228	-0.0173676718101007	-0.0150182492229671
Otu16	-0.0328838068263648	0.00127386427116155	0.00454861504657878
Otu160	-0.0398791517754503	0.0257418296693871	0.0290424358051393
Otu161	0.0426914836404295	-0.0370167403582189	0.0246659807292202
Otu162	-0.02780613322501	0.0204814217151713	0.00219149083020107
Otu163	-0.012141447681147	-0.0114119005668701	0.00290513475405979
Otu164	0.0315012080205168	0.0159504807174491	-0.0516460173689192
Otu165	0.0107718087495787	0.00746540217574177	-0.00407394581644168
Otu166	0.00186007944394818	0.0117132926805385	-0.0176485498005036
Otu168	-0.00332116216989392	0.0322039500159087	-0.0119577168696014
Otu169	0.00393106783611842	-0.013550885932937	0.0092252544104067
Otu17	0.162979025712509	-0.193216186006906	0.26418794175949
Otu170	-0.0164284711828791	0.0598358077138427	0.0330299235277716
Otu171	0.0305875855992409	-0.0269406429382036	0.0402646110325083
Otu173	-0.0147457398807089	0.0505644901427866	0.0137816213749179
Otu174	0.274839203189052	-0.286600707051537	0.364929468527355
Otu175	-0.0136383065543445	0.0574867355034952	0.00889425643967017
Otu176	0.0148716723598041	0.0509242453068826	-0.00202032193143786
Otu178	-0.0225433087647567	0.0104100061900623	0.0102175825809837
Otu179	-0.0272644729608589	-0.0325912747935497	-0.00726743702525178
Otu18	-0.0267429199607412	0.0354974001074601	0.0319616712243182
Otu181	0.0262834798648362	-0.0190703399432742	0.0218375374687996
Otu182	-0.0228511809409359	-0.0291492392356488	-0.000747654693650336
Otu183	0.0234614982032812	-0.0313808385985695	0.0431884002336894
Otu184	0.00498456225982614	-0.00432171900702702	0.0058574062073445
Otu186	-0.00705349844023558	0.0202866911550016	0.00277183846399598
Otu188	-0.00569694093666433	-0.0169994217646726	0.0104781355193713
Otu189	0.032463430546697	-0.00198828976661196	0.0369357269633135
Otu19	0.00391392583668073	-0.0108239453671576	-0.00692761995018132
Otu190	0.00504075730722403	0.00766338329402662	-0.000786575232474545
Otu191	-0.0125379410269125	0.0196276401903762	0.000844861136098316
Otu192	0.0171135399852431	0.0401852379292264	-0.0264835573570723
Otu193	0.00196657263835253	-0.0205873727335256	0.0268803523321814
Otu194	-0.0253196242977704	-0.0107883959183958	-0.0138996777120533
Otu195	-0.00745930771847666	0.00596085541910029	0.0224134058013937
Otu196	0.0216051100261903	0.0393157797637003	-0.0210440235424338
Otu197	0.000899940928912432	-0.0193169948557301	-0.0121725123429043
Otu198	0.0125100174971021	0.0148842473557037	-0.0399772048796348
Otu2	-0.492999296532646	-0.505932597577884	-0.160637370095024
