Comp1	Comp2	Comp3	Comp4	Comp5	Comp6	Comp7	Comp8	Comp9	Comp10	Comp11	Comp12	Comp13	Comp14	Comp15
Otu5	-0.00333193070576695	0.051575397433598	-0.0831806575772582	0.0247936810805496	0.0164288818886861	-0.0116703102034138	0.0240918410030391	0.00885893247450903	0.0121616640742832	-0.0256759640493354	0.0144757564375896	-0.0102523313003722	0.0137696237400689	0.000174674843118133	0.0145330699106125
Otu32	-0.025021285085787	0.00304332610445096	-0.00716335475438081	-0.0111757067728696	0.00525414219288519	0.00413002371691908	0.00866544980466976	-0.00325277713593432	0.000794415690328343	0.000199059678880517	-0.00052593087425002	-0.00258641581937459	-0.00842033963888781	0.0117804029494188	-0.00305345675790173
Otu575	-0.00585745813852438	0.000936948508234597	-0.0017692373279095	-0.00648409862845894	0.00197043272376397	0.000111763219040013	-0.00311343848113451	0.000146426543894019	-0.000360582080020826	-0.000481158069228607	-0.00586414456859221	-0.000145792062437298	0.00569834162124492	0.00160850414133136	-0.000277035468341816
Otu63	0.000510606465715509	0.00792244066244521	-0.0052487054387656	0.00215734202677681	0.00357366585887928	-0.0135729702833081	-0.00634482704997897	-0.00950313891088077	0.00137728895332274	-0.00415096732226757	-0.00425256584300871	0.00519388549856936	-0.0167556611235606	0.000950524993981408	0.00930253903810742
Otu2	-0.128643683548529	0.0346415810506026	-0.0166483030135586	-0.00238771639909171	0.0138541748084098	-0.0148090775759543	-0.00522549158219345	0.0266009709608073	0.0156028027700311	-0.0140382563324783	0.0106886633073609	0.00726428185263773	0.00151700808260585	-0.00764801002164699	-0.00638746185133394
Otu8	-0.116838824246441	-0.0351407607372788	-0.0418292830582629	-0.0127246209014822	-0.0170834516444621	0.00936944122620091	-0.00176367829718977	0.0243708121296208	0.00113574090977786	0.00341864967487708	-0.0216352028005837	-0.00062236087712613	-0.0195812065744818	0.00311207675832621	-0.0115656706323969
Otu193	0.00726019799281165	-0.00113649701224081	0.00274721442355616	0.00232961050856214	-0.00423462962118468	0.00238038122860267	0.00052222551731584	0.000819022238152793	-0.0012735064648369	-0.00475706818869374	0.000577375249497359	-0.00371413967345955	0.00310633454634336	-0.00309944551513729	-0.00119598420689515
Otu326	-0.00864201263446482	-0.00146003686403286	0.000546862556178592	0.000514266217257801	0.00110076052278594	-0.00195162310979818	0.000254798587065359	0.000683608113698744	-0.000524176044459669	-0.000961034839613298	0.00217041503495408	0.000375276330435547	0.00164868242795579	-0.000785095296338972	0.00115298524108128
Otu76	-0.0113421114565493	0.00285038042343872	-0.00303337394145341	-0.00816483382065819	-0.00161780267582581	0.00148776567193399	0.00205333090293644	0.000690599042353091	0.00729084818327256	-0.000397456760214826	0.00189317905855345	0.00121353264273558	-0.00450207850679459	0.0028313103370045	0.00363305862145515
Otu487	0.00447420594064636	0.0030069034941853	-0.013715224357135	-0.00742350112577053	0.0172707367583154	-0.00679235332103896	-0.00398139036170021	0.0146276602459894	-0.00201326189216939	0.0200677656041685	0.00141097519891314	-0.0100051739754635	-0.0131345562536533	-0.00857903028431825	0.000684541962654909
Otu9	-0.0834987274542368	-0.0359703560340874	-0.0171347248506037	-0.0240575704281039	0.00277064180478366	0.0222958118698224	0.00241061533715522	-0.0128847812911657	-0.017209448177412	0.00340227993665356	0.00615117919631964	-0.00176514655408924	0.00312929209012577	0.0186043143874464	-0.00498338681097272
Otu93	-0.0115143679883625	-0.000299928431812816	-0.00110505876744807	-0.0055656481447516	0.00546463797082182	0.0045224933642488	0.00660886229351843	-0.00521348836292643	0.00194817891931563	-0.00413958632586494	0.00708579016030413	-0.00237614853617749	0.00145049251143154	0.00281012489353958	-0.0072548363453062
Otu17	0.00809345709494905	-0.0252664966725957	-0.0288207849817816	0.00116168188474114	0.0119878095315758	-0.0100991735783213	0.0124433819566302	0.00445035481846452	-0.0124544638263798	0.0187779129605424	-0.0187777899394935	-0.0099337822576891	-0.0094733759240082	0.0082521603661912	0.00424023781484333
Otu111	-0.016995565948643	0.00321835105274289	-0.00751872183471303	0.00248135127239416	0.00402844591103211	-0.0032202810467381	0.00287469640440075	0.00474007311592372	-0.00633761662300234	0.00269811634650675	0.000583389573344358	-0.00142629778705379	0.00211113158770813	0.00338653397212524	0.0040808764558412
Otu563	-0.0663185758189632	0.0176738090533448	-0.00953853101044857	-0.000541687308676615	0.00670682873863851	-0.00669264408498679	-0.00329114758422198	0.0105246018757393	0.00903846811055836	-0.00721334647120658	0.00309394605315773	0.0045827708057712	0.000737239683865845	-0.00456412798004809	-0.00257816468100897
Otu81	-0.0191971691273751	0.00304166654732549	-0.0146558048160921	0.00270427864318966	-0.00660611471439477	0.0107743785169873	0.000208495598710186	0.0117276037718264	0.00843817770337967	-0.00166895206330708	0.0150792234061782	0.00690672627250274	-0.00685763443236936	-0.00482146531370433	-0.00147412648441194
