RS1	RS2	RS3	RS4	RS5	RS6	RS7	RS8	RS9	RS10	RS11	RS12	RS13	RS14	RS15
611A	-1.01246269842067	1.42159751340089	-1.6347200657624	-0.142435926501869	0.105084633732541	-0.63837624955615	0.975265118723557	1.91234734610027	0.812089994383971	-1.25197485347217	0.928491540939295	0.174691235825316	0.0709904170307644	-0.136433042685007	1.04470201054321
612A	-1.36666997513966	-0.270915152943576	0.147851478690168	0.560748016193948	0.00139581231069511	0.0558934979570059	-0.704769540877454	0.570734512098146	0.424241249591944	-0.481277617732184	-0.297765684564528	1.35633807153885	-0.431297487123351	-0.924711000026106	-2.91820520778153
621A	-0.81392162025515	-1.53497980430645	0.164584215833174	-0.428205191771613	0.462661138620857	-0.300688960218657	-0.422240874447258	-1.60419248651469	-0.400384577448506	-0.98193615030079	0.940167531757029	0.809784952753344	0.087774566180876	-1.90738468665914	1.55072147347209
622A	-0.985058352077213	0.0863605434060421	0.639505032348252	-0.0322143158633347	-0.214812312177694	2.6051644717982	-0.252570325712878	0.00378793025643569	1.97980665626448	1.41084392718118	0.143792100278678	-0.140491946294204	0.0722082754362882	0.103678632838412	0.86537428116004
631A	-1.01020450840543	-1.03408590619197	-1.18800368169256	-0.535230843093216	-1.09473515931483	-0.28833440362858	0.420669646873708	0.104429017123781	-0.818529552317758	0.644941527754837	-2.35558144333451	-0.413639905897679	-1.56656214259819	0.331663777207211	0.610703119378446
632A	-0.845121042736726	0.052418490883747	-0.577351452148583	-1.36419046077588	0.619458821563178	0.496796017593308	1.19633383558134	-1.6617731221971	-0.523113962284876	-0.450468538801978	0.945905122640757	-1.22742605465474	0.507070390095391	1.49314262273604	-1.37875151018265
641A	-1.14269429608529	-0.843586250107008	0.596829688766883	0.956425383785387	0.0557432071371369	-0.947240695239518	-1.49186556040182	1.17803531695601	-1.16361722534064	0.876644779721298	0.654897822605653	-0.878444756128943	1.56425603813279	1.138847082531	0.361825094822206
642A	-0.569682464128152	1.31593964276668	2.38115233044093	0.815720526638376	0.471189173986868	-1.30636777641655	1.80125045534451	-0.631711928013616	0.0188947125958494	0.438301617644913	-0.79638428116821	0.238093714768522	-0.166917352827299	-0.0622473826193338	0.348110876998921
711A	0.990399868425375	0.422199110651934	-0.0303342279178283	-1.15854648292631	1.60016372777865	-0.619937295959527	-0.65658171994264	0.631792686032778	-0.267724992639981	1.769271166903	1.01969227025253	-0.656971604325189	-1.7945942208219	-0.852917272334832	-0.318089128894462
712A	0.490459541701093	1.7954686423624	0.670649964779008	-1.82834260268034	-1.19276185428751	-0.224664111873687	-1.87807279957201	-0.343284142983792	-0.0342653448424413	-0.871133220794741	-1.00186239838904	-0.320828745356675	0.818353358951432	-0.288564264880521	0.0727969108855142
721A	1.2522386248924	-1.1799769736756	-0.182929993701171	-0.104184082615587	-0.761890016647393	-1.71100784196154	-0.173860735366504	-0.580400193662898	2.27438505938852	0.128470812855593	0.408543613230925	0.769071945898459	-0.130885441889768	1.46544721689215	-0.087980992430915
722A	1.12181666237782	-0.234269047162847	0.338418676777827	0.258540892880854	-2.64353328282892	0.522691540466421	1.2594039069808	0.472045116113728	-1.04208358257877	0.445272006128961	1.41694582007104	-0.164838965051774	0.106836915607984	-0.945010840983784	-0.459677092046772
731A	0.592096811444113	1.41262876303981	-1.82503388076634	2.31326568212903	0.0817390514262022	0.132750669241187	-0.75354145278853	-1.69915944834766	-0.322132240632675	0.574837465709423	-0.117771112263067	-0.000753504019000539	0.0848947160060889	-0.185463284079437	0.0547846631825506
732A	0.976232620388479	0.0944216307828659	0.168010671634442	-0.34869924502446	0.788170726408068	1.17181261739031	0.0606022143966786	0.510247262936622	-1.47159333273526	-0.22507413094313	-0.139889115222232	2.60036389221462	-0.0592911666829965	1.54502696233075	0.4914493673439
741A	0.987360193550052	-0.604695245211641	0.902718261465458	1.21854550135007	0.501374801713247	0.841268175161046	-0.358392977136401	0.48540464271257	0.127333385459706	-2.26394112209717	-0.220134253265562	-1.67779760250407	-1.36047286854512	0.407419776117091	0.120638728379252
742A	1.33521063446897	-0.89852595769529	-0.571347018747267	-0.181196851725055	1.22075153057888	0.210240345246743	0.978370808344903	0.651697491389462	0.406693753136453	0.237222330242953	-1.52904753356876	-0.46715072876679	2.19763600304704	-1.18249429638451	-0.358402594829861
