CS1	CS2	CS3	CS4	CS5	CS6	CS7	CS8	CS9	CS10	CS11	CS12	CS13	CS14	CS15
Otu5	-0.00853837181725978	0.246167603620583	-0.408726075022517	0.13728722669354	0.105688504386365	-0.0801983935290693	0.174098356918843	0.0701980201181767	0.100978284221483	-0.244588016379606	0.14331266999383	-0.108176842509086	0.148804125088753	0.00192334234969347	0.206690179703675
Otu32	-0.0641192912680727	0.0145256911521272	-0.0351986863055581	-0.0618819684016631	0.0338003787452964	0.0283815307014698	0.0626203938821198	-0.0257749469798185	0.00659603265457804	0.00189623306470578	-0.00520681307024743	-0.0272904072798871	-0.0909960429251769	0.129713858530548	-0.0434264425816354
Otu575	-0.0150102627897369	0.00447202310529826	-0.00869352863853151	-0.0359036609132986	0.0126759744807698	0.000768037050122679	-0.0224990910352198	0.00116028127584041	-0.00299391263721139	-0.00458348895844914	-0.058056117411071	-0.00153831597080576	0.0615802403473613	0.0177112174795981	-0.00394001481366632
Otu63	0.00130847494788232	0.0378135376506075	-0.0257906445491064	0.0119456043224641	0.0229897203206305	-0.0932734771540769	-0.0458505418575618	-0.07530270022617	0.0114356287539482	-0.0395419179376935	-0.0421011895242708	0.0548029630654407	-0.181073320581712	0.0104662179323108	0.132301260319599
Otu2	-0.329660998104823	0.165343078622596	-0.0818050222817397	-0.013221230098791	0.0891251775336238	-0.101768008779362	-0.0377617259900712	0.210785611025133	0.129550055250707	-0.13372776434769	0.105819746542934	0.0766486227269956	0.0163938437785955	-0.0842121355481368	-0.0908428601818331
Otu8	-0.299409985442043	-0.167725646152073	-0.205537190776957	-0.0704585942126035	-0.109899411675933	0.0643868176174564	-0.0127451236970818	0.193113872929282	0.00943005559839668	0.0325658947437501	-0.214192515090834	-0.00656680247801252	-0.21160812869701	0.0342670353551571	-0.164487651687273
Otu193	0.0186049097066321	-0.00542446127313838	0.0134990297178457	0.0128994869683762	-0.0272417608407921	0.0163579842517677	0.00377383382591274	0.0064899173480008	-0.0105739228594649	-0.0453156060594048	0.00571612191394391	-0.0391895160955238	0.0335692102505684	-0.0341279529061859	-0.0170093581167873
Otu326	-0.0221459338859607	-0.00696870589275468	0.00268712694361732	0.00284758775916046	0.00708129342757743	-0.0134115576580163	0.00184128790106683	0.00541689828390218	-0.00435223315462778	-0.00915477232485037	0.021487510859627	0.00395970509589753	0.0178168082783019	-0.00864467375518219	0.016397824282174
Otu76	-0.0290651797293391	0.0136047680320509	-0.0149051361371397	-0.045210204487592	-0.0104074730318706	0.0102239284780879	0.0148382822369956	0.00547229427565792	0.060535904919703	-0.00378615425659645	0.0187428233424242	0.0128045149660814	-0.0486525896372165	0.0311755200638869	0.05166957456072
Otu487	0.0114655547434134	0.014351847282126	-0.0673927086274639	-0.0411053073806345	0.111104233995011	-0.0466770647167387	-0.0287712973092046	0.115909314263818	-0.0167161114069616	0.191164583844379	0.013968915816118	-0.105568977212082	-0.141941144409521	-0.094463587146163	0.00973559627429647
Otu9	-0.213972991706682	-0.17168527605998	-0.0841951607352137	-0.133211245007501	0.0178237929106777	0.153216860839145	0.0174201784458541	-0.102098773063025	-0.142890030405317	0.0324099573934309	0.0608978133913574	-0.0186248351904345	0.0338173054259498	0.204851855651517	-0.070874021925727
Otu93	-0.0295066025698642	-0.00143154812160387	-0.00542994424237106	-0.0308180296448364	0.0351545173957841	0.0310785828514252	0.0477585779459242	-0.0413115871511226	0.0161757275507175	-0.0394335031054716	0.0701506350474552	-0.0250717849867897	0.015675030283019	0.0309422474306574	-0.103178711528602
Otu17	0.0207402110266298	-0.120596122323403	-0.141617133932013	0.00643244880573016	0.0771186784861706	-0.06940153970506	0.0899214116882814	0.035264530797421	-0.103409400260094	0.178877508705922	-0.185903598503776	-0.10481569189737	-0.102375884963857	0.0908644268712664	0.0603049129555413
Otu111	-0.0435526648447722	0.0153610792293652	-0.0369448589876085	0.0137397038194028	0.0259153621179512	-0.0221297773717239	0.0207738346182652	0.0375602533274397	-0.0526212242613716	0.0257021284141639	0.00577566483402806	-0.015049493287012	0.0228143553365218	0.0372890800471998	0.0580384662837394
Otu563	-0.169947309454354	0.0843564846419479	-0.04686962636428	-0.00299942344590535	0.0431456445645482	-0.0459918626602368	-0.0237832960427635	0.0833967542178258	0.0750463913671749	-0.0687139965401576	0.0306306390002193	0.0483548240089692	0.00796712446245947	-0.0502555518398868	-0.0366668105569549
Otu81	-0.0491944708107665	0.0145177701428674	-0.0720144532785607	0.0149740941622957	-0.0424977420070173	0.0740415493054959	0.00150668191590982	0.0929293194051918	0.0700621807376692	-0.0158983582393469	0.149287104759598	0.0728758970368784	-0.0741083642625461	-0.0530890897617929	-0.0209651140359931
Otu45	-0.0141967888616124	0.0351087303915496	-0.0572934125229871	-0.0613621285918381	-0.0659987971092206	0.0735852042303598	0.0382970220585587	0.0393273265259705	-0.196616061899601	0.0381238131441747	-0.0185686806457786	0.0117095777327569	0.0424228894659863	0.0498943169161652	-0.020121075694496
Otu407	-0.0113919040748105	0.0281375838708294	-0.00668126065868877	-0.0246478597763713	-0.0678306452033108	0.0471163155444204	0.00392065755157013	0.0183537030554324	0.0317924765875898	-0.0192623900944983	0.0214922482437399	-0.0475401675732808	0.0143921102775525	0.0195217594514484	0.0322650291698439
Otu464	0.0072471673612005	-0.0768016442517057	-0.0196197760169389	0.0112943370629768	0.00113965501159485	0.0714636960622208	0.00806147984184277	-0.0115331767727013	-0.03459313532575	0.0270341344592283	-0.083655165632256	0.0608578844935569	0.0917122721139047	0.0412532587605242	-0.0425130630000898
Otu19	-0.0969479099041066	-0.129438148019983	-0.0575082578373737	-0.114078813188308	0.0554449996067418	-0.00659289030961556	0.0415566361005045	-0.274163835173956	-0.090347765211789	-0.211279847054171	0.13071488262584	0.0676912677284881	-0.037808599854699	-0.199644370046523	-0.059763030919345
Otu49	0.00513080150332161	-0.017525944550276	0.05939809792424	0.0174125931632163	-0.0277372679184625	-0.0166761538130803	0.100624795584983	0.000583349163711543	0.0756513356861944	0.0352805327242366	0.0314845638063846	0.101028751371175	-0.0994287473081044	0.00938486218937903	-0.0166849216583702
