Comp1	Comp2	Comp3
Otu1	0.0436459775062535	-0.0498318055061189	0.02575272807311
Otu10	0.00876060345320164	-0.0232330723075903	-0.0111894579124296
Otu100	0.00157941905031398	0.000914279832747059	0.000148152165015557
Otu101	-0.0130922247893265	0.00279815668833292	0.014398669467945
Otu102	0.00613680329626004	-0.00166267173018308	-0.0015399816996302
Otu103	0.00747821232939123	0.01740540868943	-0.0136138673182423
Otu104	0.00437736653231021	0.00231780512854887	0.00340409831569675
Otu105	0.00856864815623601	0.00561816184710585	-0.0050813095216699
Otu106	0.00226634253513473	0.000982913739207533	0.00437182270820592
Otu107	-0.00486321447842946	-0.00252289235717166	-0.00440526615801958
Otu108	0.0206438865129673	-0.000225696762357521	0.00222487785892264
Otu109	0.00544741073273138	0.00184345676699537	-0.00332355045094021
Otu11	-0.0316741609902751	-0.033644868021759	0.00247580576488685
Otu110	-0.015029681543116	-0.00276734475446944	0.00590536212245726
Otu112	0.00198082349208892	0.00702223527835005	-0.00104800674564004
Otu113	-0.00312394005725998	-0.00295940254733613	-0.000559502331160843
Otu114	0.0177482030848109	-0.0108765202555392	0.00186203143886109
Otu115	-0.000615695425895369	0.00538830883318446	0.000866449916539609
Otu116	0.0103542769215469	0.0121651093747568	-0.00259520348707889
Otu117	0.00677855231039884	-0.0217360905423168	0.00959033049282143
Otu118	-0.0248304120481344	-0.000240985887552603	-0.0237060433361957
Otu119	0.0131818214351524	0.0142860602246591	0.00366985128844344
Otu12	-0.12121821119501	-0.00273205673880267	0.0625143751707004
Otu120	-0.00539175586053037	-0.0161960298540572	-0.0158931274856977
Otu121	-0.00470714017845685	0.00542997104370825	-0.00353529272162372
Otu122	0.0151704018195318	-0.0152099874650982	-0.00202466227453837
Otu123	0.00460717620675621	0.00671272465304775	0.000402536244313552
Otu124	0.00406314749644361	0.00592006668387223	0.000355003598714532
Otu125	0.000558419754602936	0.00494977175476973	-0.0011722844013428
Otu126	-0.0092425824203853	-0.00538346296985822	0.00559306419456162
Otu127	0.00108592184597288	0.00158220437413606	9.48787026758259e-05
Otu128	0.00927734283685832	0.00763763358305047	-0.000680500895593377
Otu129	0.00221612236934732	-0.00264773152470147	-0.00287214297747716
Otu13	-0.0852468822912267	-0.0171150368660401	-0.011632409419376
Otu130	0.0149963882532907	0.00423654353030041	-0.000691851582115112
