CS1	CS2	CS3
Otu1	0.124511946257852	-0.197178092926536	0.154773741423862
Otu10	0.0249919889225785	-0.0919303012184151	-0.0672485750129084
Otu100	0.00450571968248724	0.00361768858244804	0.000890393624100969
Otu101	-0.0373491094140526	0.0110719488068192	0.0865359172338069
Otu102	0.0175068898871485	-0.00657897978190071	-0.00925528078809322
Otu103	0.0213336216728921	0.0688709802330434	-0.0818192610161766
Otu104	0.0124876210263326	0.00917125900578685	0.020458610481939
Otu105	0.0244443845616435	0.0222303492220231	-0.0305386397809531
Otu106	0.00646535456551865	0.00388926418860007	0.0262746282828714
Otu107	-0.0138736335941121	-0.00998276298828785	-0.0264756232158776
Otu108	0.0588922653339018	-0.000893053276504002	0.0133715026019371
Otu109	0.0155402112898289	0.00729432309379263	-0.0199745182973487
Otu11	-0.0903591042363213	-0.133128447703562	0.0148795778133663
Otu110	-0.0428762284061794	-0.0109500299179313	0.0354911909744361
Otu112	0.0056508343330821	0.0277860885473332	-0.00629851426224324
Otu113	-0.00891188326499449	-0.0117099780864657	-0.00336260565806063
Otu114	0.0506315457902804	-0.0430370021692415	0.0111907977913342
Otu115	-0.00175643759540741	0.0213208501886624	0.00520735880713369
Otu116	0.0295383731847877	0.048135784814434	-0.0155971574083781
Otu117	0.0193376523840597	-0.0860069354759037	0.0576378288021146
Otu118	-0.0708354608406849	-0.000953550393111813	-0.142473178417564
Otu119	0.0376047080599612	0.0565281165697687	0.0220557842559077
Otu12	-0.345807706921526	-0.0108103997447585	0.375711020225743
Otu120	-0.0153814407260241	-0.0640856225691462	-0.0955176009665678
Otu121	-0.0134283894740179	0.0214857022371633	-0.0212470880755187
Otu122	0.0432776710246193	-0.0601839787128788	-0.0121682081393642
Otu123	0.013143215229259	0.0265613945147216	0.00241924041655889
Otu124	0.0115912263081387	0.0234249481203428	0.00213356950129704
Otu125	0.0015930432641698	0.0195856149524281	-0.00704542222841659
Otu126	-0.0263669641823441	-0.0213016757260968	0.0336142822988928
Otu127	0.0030978855384011	0.00626058072637694	0.000570220434623119
Otu128	0.0264661276644123	0.0302211410781141	-0.00408980630534638
Otu129	0.00632208797049997	-0.0104767356374033	-0.0172615620864096
Otu13	-0.243189769892859	-0.0677220159963654	-0.0699107109157453
Otu130	0.0427812502993681	0.0167634619179575	-0.00415802386333522
Otu131	0.00469414414465036	0.0293135992353383	0.136094015401909
Otu132	0.0119667405068896	0.00383160096727979	0.00947044774378734
Otu133	0.0213775193720804	-0.0257356225859817	-0.0567495264436315
Otu134	0.0246654710863472	0.0258379460095677	-0.00276431632484733
Otu135	0.0123988455538938	0.0361576705978313	0.0495493897801103
Otu136	0.0196001497171758	0.0289263477091951	-0.0997168541597463
Otu137	0.022287138270885	-0.0548676505614823	0.0225513119241869
Otu138	-0.00657407604829373	0.00871995259385733	0.00374361203058089
Otu139	-0.0614414602348039	-0.012459475343063	0.0190913266252068
Otu14	0.0697324730513505	0.0310133540454552	0.0622393638338856
Otu140	-0.00531884083778815	-0.000283248305624126	-0.0201322542184279
Otu141	0.00924951901930823	0.0180244552105573	-0.0296703796175631
Otu142	0.0106233876817446	-0.00307197530849127	0.00240400748190352
Otu143	0.0631289476328876	-0.0299135385503702	-0.0228343837704903
Otu144	0.0492765013395961	0.0422435353704396	0.0230613264392852
Otu145	-0.000921488402180571	-0.0111186229619943	-0.0231508628625117
Otu146	-0.02143730102513	-0.000300572317730323	0.00192908301012324
Otu147	-0.00886100283928037	-0.00015225376498959	0.0156754767507684
Otu148	0.0076858704176096	0.0258600166497351	0.0144941192093829
Otu149	0.011736334867675	0.0188068659249271	-8.26435651982094e-05
Otu15	0.21261377997118	-0.189066038583467	0.0135248924947792
Otu150	0.0186773869368516	0.000322872688565868	-0.0513408349131731
Otu151	-0.00828947548306498	0.00289856158895737	0.0207166123703823
Otu153	0.00401777198140946	0.0115117616454744	-0.00622277772784628
Otu154	0.0174611260947398	-0.0423242525569644	-0.0363821937096462
Otu155	0.00254834303036241	0.0144110984989475	0.0056979023606115
Otu156	0.0142867622110956	-0.0372673379375768	0.0173600195642179
Otu157	0.0295482181071539	0.060324380702851	0.0218891337461974
Otu158	0.0498826377098811	-0.103518957605741	0.000209508481915023
