Comp1	Comp2	Comp3
Otu1	0.23299697113415	0.0461620015396406	0.0453800053543029
Otu10	0.0590176063508613	-0.0259483013334247	0.00232914329760164
Otu100	-0.0130622445439568	0.0066406893513779	0.0133282702237119
Otu101	-0.00194863070781669	-0.000208659974338237	0.00195313899170165
Otu102	-0.0158018867809605	0.00492181092268598	-0.0365492928803303
Otu103	0.00838371693996943	-0.00148516571673408	-0.00805194084348965
Otu104	-0.0156215562956807	0.00183447267917221	-0.005748703406005
Otu105	-0.00814822592898553	-0.0151009973568903	0.00774876338832432
Otu107	-0.0202334561678541	-0.0119505550465809	-0.0141472198684767
Otu108	-0.0259092882347952	0.0108505198220637	0.0156795168114312
Otu109	-0.00863869916083041	-0.0115202079478752	-0.0034533670384784
Otu11	-0.11145331227374	-0.00579750075439512	-0.0299413713413552
Otu110	0.0013913417905277	0.00101409025493253	-0.000671817221637401
Otu111	-0.0208440051980711	-0.00115183647740645	0.0107491021224879
Otu112	-0.0085987870048968	0.01443959018111	0.00420857975573574
Otu113	-0.00076524738538869	-3.96120773775424e-05	0.00330649766640417
Otu115	-0.00100011958420483	0.0011601564698307	0.00196349752508579
Otu116	0.00895358971065162	0.00419681993111343	-0.0176145012666234
Otu117	-0.00100011958420483	0.0011601564698307	0.00196349752508579
Otu118	-0.00528751235144839	-0.00225816290950191	0.00387857618301205
Otu119	0.0085441003734204	-0.00245740009867156	-0.0036526687732322
Otu12	0.000684150450538999	0.00183444476198726	0.000716585193193763
Otu120	0.0103661819653158	-0.0125352723771268	0.00443061394379583
Otu121	-0.00123375430079848	-0.0105669066976619	0.0023097271923907
Otu122	-0.00685977647057927	-0.0011777791792505	-0.00695920223112332
Otu123	-0.0188964856671604	0.00396965290054979	-0.0143051599290484
Otu124	-0.0166264830678346	-0.00054779201353492	-0.0117092249076825
Otu125	0.00964046112616166	0.0212880573187827	0.0185782797509361
Otu126	0.0157725751247937	0.00410837512956342	-1.3651088618471e-05
Otu127	-0.0086433948598108	-0.00119184060034442	-0.00139912116632721
