CS1	CS2	CS3
Otu1	0.531211103283496	0.195278898507331	0.227149016372698
Otu10	0.134554572234081	-0.109768977373656	0.0116584959589721
Otu100	-0.0297806847092404	0.0280920770030488	0.0667144802568563
Otu101	-0.00444269409663448	-0.00088269331034852	0.00977641138074753
Otu102	-0.0360268104345525	0.020820713651641	-0.182947001924438
Otu103	0.0191140833446008	-0.00628268956266191	-0.0403038833558974
Otu104	-0.0356156739482074	0.00776036116681201	-0.0287750588369773
Otu105	-0.0185771860658543	-0.063881678260492	0.0387863326154444
Otu107	-0.0461303703728219	-0.0505543769380006	-0.0708137218681059
Otu108	-0.0590707317846261	0.0459009030894172	0.0784836139420612
Otu109	-0.0196954187422325	-0.048733881625662	-0.0172857830191923
Otu11	-0.254103032710435	-0.0245251402377237	-0.149871138091297
Otu110	0.00317212796369407	0.00428990124702866	-0.00336277221401219
Otu111	-0.0475223645364005	-0.00487260844561395	0.0538044884514604
Otu112	-0.0196044227937242	0.0610837305883072	0.0210659902831143
Otu113	-0.00174469181250895	-0.000167570785058595	0.0165506303205209
Otu115	-0.00228017825791818	0.00490780447052637	0.00982826088254687
Otu116	0.0204133394755787	0.0177537876618646	-0.0881691530305155
Otu117	-0.00228017825791818	0.00490780447052637	0.00982826088254687
Otu118	-0.012055029111176	-0.00955269596009542	0.0194141617661626
Otu119	0.0194797424354344	-0.0103955281065598	-0.0182833852155174
Otu12	0.00155979845520599	0.00776024306887551	0.00358685770330719
Otu120	0.0236339164918259	-0.0530279039177415	0.0221773794736883
Otu121	-0.00281284336065715	-0.0447011358200572	0.0115613089012356
Otu122	-0.0156396429081326	-0.00498235373549398	-0.0348341946898527
Otu123	-0.0430822038182359	0.0167928040384063	-0.0716042887515741
Otu124	-0.0379068121409337	-0.00231732198445408	-0.0586103703492526
Otu125	0.0219793414741064	0.0900547689857641	0.0929933334818743
Otu126	0.0359599826250079	0.0173796400328768	-6.83303434605743e-05
Otu127	-0.0197061244927146	-0.00504183769916722	-0.00700328248611174
Otu128	0.0184503186101795	0.00858160917046367	-0.0789681808480454
Otu129	0.000333218260550918	-0.00688391199178434	-0.112053520721464
Otu13	0.0292194129258531	-0.0140613071150807	0.0496653353184637
Otu130	-0.0145332240450724	-0.0408676390319924	-0.0123990426556713
Otu131	-0.00511927481918549	-0.00163085808085337	-0.0114021667099342
Otu132	-0.00929838633648583	-0.0234636280562507	-0.0375969030667702
Otu133	-0.0180337916525717	-0.0281245317197011	-0.0218731016900336
Otu134	-0.0222096880715167	0.0249542352526083	-0.0387441225961915
Otu136	0.00256337839167286	-0.0123118578237254	0.00459230839123645
Otu137	0.00429507776984104	-0.110251803614362	-0.000436687980683274
Otu138	-0.0319334177461274	0.0482915992093474	0.0249642300368873
Otu14	-0.256742257153216	0.244818975075043	0.268988073051333
Otu140	-0.0245399086506318	0.0578928637886367	0.107051814290892
Otu141	-0.0435264284613427	0.0174279391698913	0.0809376058811342
Otu142	-0.0190425292005033	0.0340101946346048	0.0178107743231248
Otu143	-0.000758195435888689	-0.0213137558376603	0.00348112166089501
Otu146	0.0190971330579885	-0.0376029676437861	0.0144568086386569
Otu147	0.0170147002539038	-0.015449862837762	-0.0243122631518673
Otu148	-0.0184633053612805	-0.0199990772948724	0.0389490542120289
Otu149	0.00785374019238455	-0.0272026218969302	0.0406300437608368
Otu15	0.000951048883184784	-0.0088415160018786	0.0115419383085558
Otu150	0.00567199732007821	0.0319312107473425	-0.00458991369822373
Otu151	-0.0108638222089007	-0.00532097793864502	0.00449969809835373
Otu152	-0.00295561469491241	-0.000941576351990768	-0.00658304401932549
Otu153	-0.0301373732446172	0.04095931856274	0.0293521809320992
Otu154	0.00227678423138984	-0.0459633915680483	-0.00216799329375528
Otu155	-0.0120963588033875	-0.0709215793042186	-0.0182215892375134
Otu157	-0.00592262376618634	-0.0160025068085475	0.0194428790660259
Otu159	0.00656495355464912	-0.0806226784174322	-0.0109612818761077
Otu16	0.127685518231601	0.0177604994332627	-0.0195266784031896
Otu160	-0.00756656533791506	0.0106320971604904	0.0537124380185883
Otu161	-0.0269958160378461	0.0142861378885555	0.000424320314343128
Otu162	-0.0106936281635933	0.00634193475435867	-0.0112006746023513
Otu163	0.00393136048814263	-0.0126763498345278	-0.00757100339657029
Otu164	-0.000879674116982472	-0.0368880419416978	0.00863858197544486
Otu165	-0.0243505044107874	-0.0251119528911606	0.0133130426670554
Otu166	-0.014333655487013	0.0225664116846895	0.0359617753185496
Otu168	-0.0314595721660837	0.00915431891733939	0.0155854257665164
Otu169	-0.000629306934523949	-0.00200273671634073	0.0170353951313245
Otu17	-0.0489907217535819	0.0169507200151569	0.00447290114269235
Otu170	-0.00574825132215631	0.00506923200307911	0.00545406809127237
Otu171	-0.00672429385975521	-0.0165620490977159	-0.00177653244597089
Otu173	-0.0142918761682106	-0.00237399314015002	-0.0066577583928069
Otu174	-0.0843337076685836	-0.110676247059927	-0.251660464540853
Otu175	0.00147996720446719	-0.00710825442875229	0.00265137048588214
Otu176	-0.0267235592285356	-0.0245480075362346	-0.0109075229329011
Otu178	0.0138382778252714	-0.029295699179408	-0.00416718292053384
Otu179	-0.0285190571160645	-0.00772469359192518	0.0199438679561843
Otu18	0.0712526117211127	0.241003530022711	-0.162839055413377
Otu181	0.0160327288445487	-0.033641440555358	0.00461088708965999
Otu182	-0.0223486752652909	0.003455727364449	-0.00503047684092711
Otu183	-0.0209394508154281	-0.018008918393568	-0.0122632507126423
Otu184	0.0429731882566362	-0.0181016139642159	-0.0102464438100065
Otu186	0.0100632361196321	-0.0229596037687702	-0.0109272493053091
Otu188	0.00156590745336144	-0.0136765266139998	0.00177623576949852
Otu189	-0.00168775908143783	-0.0124177844782229	-0.0154771285871742
Otu19	-0.111377745511931	-0.127463951894943	0.352215726075481
Otu190	-0.0251180685132427	0.0248508663689829	0.0309759403388187
Otu191	-0.0397490649938012	0.00871090085065771	0.00163552888975284
