CS1	CS2	CS3	CS4	CS5	CS6	CS7	CS8	CS9	CS10	CS11	CS12	CS13	CS14	CS15
Otu1	-0.308028149981027	0.658605423515194	-0.0202667974599518	-0.177062989464946	0.0460260371669565	0.0102021411459846	-0.0351218981189796	-0.0774031624086151	0.132466983652349	-0.0887833514262166	-0.0238254199013226	0.123048481479223	-0.0143754530120692	-0.0475337868705769	0.0634034967796143
Otu10	0.189600467576694	0.0518201226337226	0.0765447489700479	-0.0503561059129869	-0.0928158262096269	0.0262017191218717	-0.0122989560556506	-0.0989435873787293	-0.370621032127776	-0.269733304917018	0.125231510467761	0.0627031603939526	0.0667840359677185	0.0648674939382374	0.0161800715345118
Otu100	-0.0329957461207935	-0.0228504830384948	-0.00576450503923493	-0.0211105963760969	0.0629556257848737	-0.0697270268434247	0.00533666425811547	0.0133905151634972	0.00619820895772695	0.0270833065155862	0.0698009318052181	0.00462739327011242	0.0738174225619642	0.00392517733223419	0.0295684589384627
Otu101	0.0219841387108538	-0.0222664310049364	0.0263219516153632	-0.0189175549743207	-0.0163748862323849	-0.0113906676973554	0.0956839174164613	0.00506765106026644	0.0241020472136013	0.00436210160159266	0.0348819238899683	0.0173746074953554	-0.0811784213612778	-0.0503411098998106	0.0709143244497897
Otu102	-0.00612799903653601	-0.0287033260187411	0.0499673297802543	-0.00374024928787096	-0.0042898790660319	0.022785924447317	-0.0484676975304781	0.00663970696422865	-0.0137444878168348	-0.021495528222307	0.000333885010792908	-0.0911576851981047	-0.16737744633851	-0.0332115327185296	-0.0833855385185119
Otu103	0.0056244512432996	0.00176171658124993	0.00347012351871139	-0.0293673630562693	-0.00949308923612459	0.0294047501187079	-0.0362835001967899	-0.0090835357246615	-0.0616098221465975	0.105677148903093	0.00112428886207141	-0.00778527955649755	0.0043193697839294	-0.00784841834007781	-0.0656753329962994
Otu104	-0.025941692899307	-0.040566729214782	-0.045827697979841	0.0133878604217748	-0.00978087538615929	-0.0673931625853704	-0.00795575695043902	0.000875952841978561	0.00276369465686738	-0.0143988109831802	0.0141302293111071	-0.0253982318042453	-0.0117620327950975	0.018887185063046	0.0028988490908588
Otu105	0.0138459382963382	0.0125984360594838	0.0321801980372784	-0.018663666660676	0.0470515019659669	-0.0174926982650521	-0.0152288212555771	-0.0575291021385345	0.0340491235409223	-0.0166127510394825	-0.00853407597702043	-0.0979707890705511	0.104336630105963	0.036060724450153	-0.0145676475617997
Otu106	-0.0132098783263464	-0.00204501490380451	-0.0527496291007787	-0.0257430118389023	0.0238386957160296	0.0685401967210198	0.0715837833803436	0.000568731082749218	-0.026107107935607	0.026425486758823	-0.0520946027884684	0.0335338373581193	-0.0450917727380618	-0.0205198998377081	1.649703268456e-05
Otu107	0.00377308941115654	-0.0243063090962703	0.0530451231797061	0.0164640757162989	0.00572383145085542	0.0105994336923683	-0.0192740839280769	-0.0153356142319624	-0.00332570373210371	-0.0087685648508603	-0.079829512814115	-0.0282211525888877	-0.0639852444713798	0.0242166010625107	-0.0621932317197331
Otu108	-0.0148444906056692	-0.050182226345173	0.020833957900319	-0.0459861442766053	0.0327253031744336	-0.0432528879852195	-0.0650800791767575	-0.0158784178189283	0.0570564535865191	0.00499428185673223	0.041522558800954	0.0535432423899279	0.0378805713548734	-0.0263050059055789	0.0465158550410191
Otu109	-0.0328553448396569	-0.0127897315440283	0.0433476505764984	-0.0410903420656106	0.00894819110643107	0.0129805856418345	0.01045706267498	-0.0138745074276366	-0.0247751705763888	0.0435296660866597	-0.0703397522755221	0.0101793072577641	-0.0393146513746484	0.0147288858090196	-0.0335268055433533
Otu11	0.0700672401426382	-0.168975516979602	0.184593333070374	0.131695229138593	0.111501565736642	-0.0148918908221345	-0.187461179806149	-0.00150477551257306	-0.0490847230271302	-0.0964723838016867	-0.178163358149701	0.125544840838252	-0.23426113337879	0.0359228320060706	-0.0417943034800775
Otu110	0.0373320942165549	0.0144162578527753	-0.00535223944339383	0.0510338214673843	0.035935182500704	0.00355966012141819	-0.00299453896201066	-0.0169960315211542	-0.0517566410377509	-0.0344465655450741	0.0105089746593515	0.00321514408242754	-0.00136489192670736	-0.0318854473733749	0.0459902736886299
Otu111	-0.0352565965315117	-0.0336226060056758	0.0399682155244514	0.0237065783168866	-0.00615119287573436	-0.0346157766569812	-0.0223764958762655	-0.0339866712295206	0.0274936379126161	-0.0269469132750468	-0.00395973023297673	0.0346279681556428	0.0323856428738043	0.0272425775173687	0.0139243434757933
Otu112	-0.0299475374695677	-0.00936300247476466	0.0537879927102051	-0.0347008167216556	0.0501079657279155	-0.046273120919414	-0.0305998854742494	-0.00111530936996526	0.0149034319912607	0.0638158063207414	0.0910895008563073	0.0131900702658956	-0.00924177019558837	-0.0241050139256642	0.00228324233491258
Otu113	0.0115985891491693	-0.0212357867296527	-0.00692069093132742	-0.0356965700645719	-0.000669045376618643	-0.00429588828337291	0.0965671199226207	0.0136220083867394	-0.00144282894766628	-0.0220301366436809	0.0277915195656878	0.0121490737410512	-0.0210609266359996	-0.0944350143862287	-0.00715166853173485
Otu114	0.0443953885871524	-0.0168666784474326	-0.0261369161522342	-0.0423533269047215	-0.00874850715095464	0.0196781284498484	-0.0385148791343446	0.0196926585356862	-0.0260893987464855	-0.0518444562091173	0.0232698245635315	0.0146818805049483	0.016313947193267	0.128392716225652	0.00865340899143387
Otu115	0.0567087345617639	-0.00546108842491145	-0.00692079709518476	-0.0180885136016798	0.00520245813728734	-0.00165907879139923	0.0610074745510295	-0.0665297054966917	-0.0178732751627235	-0.066723667120207	0.0714921141716397	-0.0176635151535179	-0.0181067830597756	-0.0173630657730343	-0.0224030615845735
Otu116	0.0402275231474971	0.0044404189585117	0.0483152863942677	-0.0120334445133548	-0.0323886058043394	0.0490123854993512	-0.0712614793831382	-0.045535275949811	-0.0657287494440171	0.00550377977371971	0.055129767042847	-0.0411434229781843	-0.0672327160477052	-0.0145350972064188	-0.020481769462372
Otu117	0.0299789148219405	-0.0296032510442222	-0.0210743745623761	-0.0570716979505908	0.0124570996488113	0.0118410896446994	0.0483978095140786	0.084953664888238	-0.00777394366611858	-0.0632830292967985	0.049836022376287	0.00704822274928493	-0.00182568107126713	0.0983927376559267	0.0518474894750469
Otu118	0.0343717161616161	0.000957823052867434	0.0176582187573422	0.0632423920051059	0.0242443145066331	-0.0143506578882749	-0.0108730483023167	-0.00167449163591461	-0.0563975807457867	0.0178481093577795	-0.0125510910271992	0.0601353181538936	0.0646953697670575	0.00363078810761874	-0.122047224123115
Otu119	0.019974323851745	0.00840918843552973	0.00147325615730264	-0.0263394732409051	-0.0271834512573692	0.0461482322463571	0.00299464595955188	-0.0787196109088409	-0.0468301315071391	-0.0172665817507909	0.0408974147993899	-0.0374335013410036	-0.0204296617451678	0.0557768917084477	0.003788625733648
Otu12	0.14792515814151	0.126136693093233	-0.0125899915550379	0.300221543760705	0.15275772013039	-0.050727764850635	0.0787094201930324	0.0626015320380534	0.245005389840826	0.0683639749297074	-0.0893988955978122	-0.0668943225833372	-0.114007098612307	0.0587027064554563	0.305595799542297
