Comp1	Comp2	Comp3	Comp4	Comp5	Comp6	Comp7	Comp8	Comp9	Comp10	Comp11	Comp12	Comp13	Comp14	Comp15
Otu1	-0.124060899202688	0.180710116171543	-0.00432228708112813	-0.0347131936469743	0.0075100302029332	0.00153491509055424	-0.00493096625981831	-0.0101559283806671	0.0170408857623146	-0.010420190312793	-0.00245624024486439	0.0116896337048886	-0.0012921134048621	-0.00389900073213381	0.00485181000551418
Otu10	0.0763631651791029	0.014218559469466	0.0163246502194146	-0.00987231301779823	-0.0151446811641853	0.00394205623144643	-0.00172672152102817	-0.0129822084250244	-0.0476776212114538	-0.0316576511900406	0.0129105248600044	0.00595681448753146	0.00600277069753788	0.00532081332054417	0.00123814358747355
Otu100	-0.0132893111680259	-0.00626978354114175	-0.00122939234525919	-0.00413873177122452	0.0102724170967384	-0.0104904513856463	0.000749245137822586	0.0017569451783223	0.000797353180901138	0.00317867261889353	0.00719600571738481	0.000439603412295781	0.00663495481670075	0.000321966127668431	0.00226265982496086
Otu101	0.00885429470271832	-0.00610952960598397	0.00561366597963891	-0.0037087860717549	-0.00267187656692491	-0.00171372925447526	0.0134336181600859	0.000664917293102088	0.00310054793942315	0.000511964553288003	0.00359609130213401	0.00165059166066353	-0.00729658580765329	-0.00412927387607922	0.00542655920217941
Otu102	-0.00246810257709462	-0.00787570401663524	0.0106565008316896	-0.000733275758023538	-0.000699975999149457	0.00342814893324439	-0.00680466016968249	0.000871183893512565	-0.00176812546258995	-0.00252285469462816	3.44212947374327e-05	-0.0086600008105855	-0.0150444401233131	-0.00272420522138091	-0.00638089081278216
Otu103	0.00226529451547984	0.000483385038586252	0.000740071048940201	-0.00575747062530588	-0.00154897947489643	0.00442395317270684	-0.00509405028886519	-0.00119183422733934	-0.0079256423909526	0.0124029560226584	0.000115906605688796	-0.000739603327172959	0.000388239284959281	-0.000643773426623362	-0.00502565716295592
Otu104	-0.0104482325661672	-0.0111308198920923	-0.00977364417479008	0.00262468962454593	-0.00159593730163494	-0.0101393208319975	-0.00111695469763721	0.000114932181724218	0.000355528627821676	-0.00168993790291146	0.00145673142579858	-0.00241283779348069	-0.00105721052618053	0.00154923798916485	0.000221827907574122
Otu105	0.00557656680226937	0.00345679638005068	0.00686305049031677	-0.0036590112756618	0.0076773544412698	-0.00263178152089262	-0.00213806222925847	-0.00754828902259437	0.00438016484236223	-0.00194978027602753	-0.000879805726585507	-0.00930724722683407	0.00937812243307166	0.00295791268251454	-0.00111475646907647
Otu106	-0.00532038835939367	-0.000561117275449407	-0.0112498800487415	-0.00504691668044541	0.00388974015243804	0.0103118924499546	0.0100500610588546	7.46221725899074e-05	-0.00335848399086881	0.0031014666230973	-0.00537060250938778	0.00318572217002054	-0.00405299811803695	-0.00168316285652512	1.26239832667995e-06
Otu107	0.00151964314024238	-0.00666923742754011	0.0113128998841359	0.00322778153856639	0.000933952817108579	0.00159468786923699	-0.00270600003497233	-0.00201215809492578	-0.000427826887995102	-0.00102913567744697	-0.00822988484207414	-0.00268101590956706	-0.00575120603332889	0.00198638803025743	-0.00475919719352266
Otu108	-0.00597874204957762	-0.0137691486112909	0.0044432450296728	-0.00901558217318773	0.00533976050009768	-0.00650740952595972	-0.00913696843831681	-0.00208337836787655	0.00733988561347779	0.000586161330777519	0.00428069601371389	0.00508662019543901	0.00340483141577338	-0.0021576912768152	0.00355952119939901
Otu109	-0.0132327633843637	-0.00350928460441212	0.00924472603302469	-0.00805576030007297	0.00146006890028676	0.001952932869756	0.00146812746430886	-0.00182044892440244	-0.00318714022085767	0.00510892411233519	-0.00725155447704565	0.000967036502867105	-0.003533731285269	0.0012081498305457	-0.00256556339713539
Otu11	0.028220163700239	-0.0463640052348064	0.0393681034395829	0.0258188456282428	0.0181936177411707	-0.00224048928775867	-0.0263187584429082	-0.000197438862432999	-0.00631438215559717	-0.0113226250529392	-0.0183674416761566	0.0119267884113264	-0.0210561677898283	0.0029466019333437	-0.00319821508430327
Otu110	0.0150358114279832	0.00395557573369093	-0.00114146872227836	0.0100051791314251	0.00586351383998696	0.000535551896354561	-0.000420420631463721	-0.00223001843223386	-0.00665810440494463	-0.00404287248493957	0.0010834044729313	0.000305439418513784	-0.000122681014170891	-0.00261543190303143	0.00351930226836596
Otu111	-0.0141998874739049	-0.00922547069965864	0.00852399605603457	0.00464767395099338	-0.00100368502535338	-0.00520795362481022	-0.00314156557840486	-0.004459329414503	0.00353685069246326	-0.00316266462301402	-0.000408221504482435	0.00328966484444068	0.00291092901539775	0.00223459641401265	0.00106552907059523
Otu112	-0.0120616197825088	-0.00256904848414163	0.0114713311992454	-0.00680309405261378	0.00817607509113022	-0.00696180444574661	-0.00429609477018242	-0.000146337717105903	0.00191721495445249	0.00748983718393523	0.0093907137340925	0.00125305967287452	-0.00083068096319115	-0.0019772349970803	0.000174719984988339
Otu113	0.00467142824257171	-0.00582673836244398	-0.00147597137949728	-0.0069983114649128	-0.000109167577632473	-0.000646317636575679	0.013557616064291	0.0017873189837677	-0.000185609142699805	-0.00258559980848172	0.00286511839480273	0.00115416476643435	-0.00189302595211052	-0.00774611522607065	-0.000547265351294449
Otu114	0.0178806119795029	-0.00462792942911939	-0.00557420358340126	-0.00830336843899423	-0.00142748663535638	0.00296058012522451	-0.0054073264739016	0.00258383796591626	-0.00335620583626423	-0.00608480184273315	0.00239896210940262	0.00139478198461774	0.00146635169249519	0.0105315256267608	0.00066218266276986
Otu115	0.0228399144779862	-0.00149842969470483	-0.00147599402099602	-0.00354625253610862	0.000848880767179615	-0.000249608884732933	0.00856519193776964	-0.00872924184472432	-0.00229926304539195	-0.00783112259890094	0.00737035522337522	-0.00167803795384698	-0.00162749772760716	-0.00142422076207552	-0.00171434390642524
Otu116	0.016201969510523	0.00121837536891231	0.0103041705832218	-0.0023591564272945	-0.00528482187026336	0.00737392759525048	-0.0100048109379688	-0.00597460086835834	-0.0084555115523341	0.000645959312873219	0.00568350749164014	-0.00390863453330368	-0.00604309955154747	-0.00119225414974339	-0.0015673213474895
Otu117	0.012074257272135	-0.00812262812338246	-0.00449451853919253	-0.0111889046305337	0.00203261458865475	0.00178149536692189	0.00679484818715055	0.0111466160998108	-0.00100005965474889	-0.00742730701476966	0.00513775808827625	0.000669582762982047	-0.000164098271074082	0.0080707509629235	0.0039675125343671
Otu118	0.0138434945455871	0.000262810339811091	0.00376595715042864	0.0123986690104186	0.0039559246331323	-0.00215906063608657	-0.00152653009067085	-0.000219707006783512	-0.00725512655502229	0.00209476994553606	-0.00129393290970924	0.00571286889115042	0.00581503445062513	0.00029781859224414	-0.00933938935898171
