RS1	RS2	RS3	RS4	RS5	RS6	RS7	RS8	RS9	RS10	RS11	RS12	RS13	RS14	RS15
912A	-1.35928948630292	-0.703468004173486	-1.01988907724354	0.71829831372073	0.618187802594771	2.26267058601831	1.0793028722506	0.911372922635628	-0.557594111570761	0.172431180739344	0.453428045719663	1.17333195377566	1.17935562713255	-0.294572634325295	0.451007454479769
913A	-1.00379822651101	0.943516406853752	-1.47173839060073	-0.744304466426643	0.548364200285412	0.616901623067941	0.690811024846716	-0.731106511291857	-0.473469136079223	-0.75747049442322	-1.73887399350181	-1.5816980831264	-1.34130357087282	0.213285122239212	-0.721930324165723
914A	-1.22477702318778	-0.813132330752133	-1.60356259287069	1.32333037197411	-2.01745659781269	-1.82135587841113	-0.177667075210845	-0.167494017811904	0.258690328491996	0.954643796656698	-0.0125052305960289	-0.256889890597004	0.126344764485591	-0.0930332907815626	0.000379573322360549
916A	-1.03043536523067	0.343119244409656	-0.24868377616597	-1.16800897604889	1.90988512071278	-2.3437874719833	-0.147017463285548	0.64657811159327	-0.491771444185612	-0.945721224658541	0.866737236225618	0.760424455023612	0.566496047125264	0.055447949760116	0.154940160724008
9211A	1.16767690756527	-0.432691391495099	-0.297834250794336	-0.778778480417765	-0.381997983709609	0.110965481455828	1.01258563504823	-0.252569042714941	-0.461801223137012	0.668572170821329	1.19885742293478	0.0440442028657168	-0.10685630279516	2.99235708149567	-0.664592918436633
927A	0.460411269333931	1.89771032594387	-0.360428677524551	0.547770417669101	0.553420179195554	0.08135426883043	0.0785666245827819	-0.522039650157241	2.72076452022056	0.640494597332051	-0.364420181444409	1.34861819829096	0.291495611182072	0.157777997680205	-0.539384456755987
928A	0.837841943294536	-0.84585996710253	0.430267154430723	-1.43264692747732	-0.471118918763291	-0.332962017691441	2.19009344810107	-0.107484685592282	0.516963349790037	0.553920174528082	0.446397780408421	0.0933636165058074	-0.778463596114787	-2.19101860879565	-0.124182199380133
929A	1.01772666673909	0.77034255414719	0.0507194436889106	1.03477279680947	1.00192233265509	-0.103722681679589	-0.581916156153082	-1.81409042772863	-2.08386614991392	1.52559991603174	0.30468642213247	0.0367953208862541	0.162022578330051	-0.918566538882261	0.138432588972856
934A	-0.826855222127017	1.91487595037182	0.841720296702097	-0.109118871858309	-1.43142636762226	0.722008955479609	-0.836786828563655	0.973453456175221	-0.470065862773237	-0.274946823242102	1.86513592942889	-0.0794776457284019	-1.32473212460742	-0.37072125360319	-0.192620073009287
935A	-0.794256213026387	-1.73994079311678	1.51047844270095	0.518248049616317	0.583729982602636	0.108520993698696	-0.903336578171968	-0.222270866086233	0.0715066252996925	0.146720361078562	-0.908997473030321	1.41696329765944	-1.90877956552765	0.409263201363545	-0.949768853570408
936A	-0.51588218597517	0.795692897968751	1.92420274183785	-0.539128630571954	-1.35144799469308	-0.25574908972845	0.679304004300839	-0.278506648273259	-0.72968618105598	-0.173766937049167	-1.86283094606548	0.467425464218342	1.55289270261029	0.528449532120498	0.857138334456788
937A	-0.986341454067258	-0.783673427856298	1.33518532660135	0.150278674334292	0.793291342646683	0.42419753232247	-0.345580147696792	-0.958588001258936	1.39187380157886	0.194405828555008	1.03211776899528	-2.38319909629473	0.92287083660113	0.147521722932336	0.408224320200871
9410A	0.815279192081626	-0.330193905542088	-0.540853251542258	-1.47413387317352	0.175306704534654	0.393076024939406	-1.8282963845657	1.86663698001443	0.169251070768603	1.69951020642163	-1.01901170977371	-0.578222801094826	0.235583306298096	-0.144603486609778	0.618336008456795
9411A	1.28297791551658	-0.208673534404136	0.320368667587199	1.19927581892081	-0.0554547516978198	-0.169820448333108	-0.0411393721809586	1.29188778068882	-0.317606819170473	-1.25836861604815	-0.317976036612956	-0.772847031814001	1.17756133083944	-0.530606286742636	-2.45275010386715
947A	1.27117705727831	-0.00478478474067054	0.0676961142657613	1.66070005971718	0.444008775078322	-0.365480421156041	0.642358665315709	0.947235462665764	0.207206769521328	-1.06625959440462	-0.26769758158673	-0.458387875407299	-1.20071284839833	0.421640494952528	2.42896304554523
949A	0.888544224618883	-0.802839240511814	-0.937648171072765	-0.906554276787619	-0.919213826007166	0.673182543170375	-1.51128226861741	-1.58301486285785	0.249604462215124	-2.07976454233863	0.324952546766317	0.769755914836839	0.446225203711666	-0.382621002803717	0.587807443026663
