Comp1	Comp2	Comp3	Comp4	Comp5	Comp6	Comp7	Comp8	Comp9	Comp10	Comp11	Comp12	Comp13	Comp14	Comp15
Otu56	-0.00574528353921194	-0.0129089408043484	-0.0170385507112662	-0.0133847117590734	0.0134386387804383	-0.000563769417815092	0.00574107416324715	-0.00383306617851513	-0.0100551895291917	-0.0107201741934464	0.00156796642378032	-0.00959017999227905	0.00545304099346845	0.00528878570619357	-0.00462273198363839
Otu40	-0.0460277184091495	0.00927993478420985	0.000163540730769949	0.00546830622528063	-0.0163023201236831	0.00605494253631038	0.010233757516497	0.00261591214719554	-0.0207688664846464	-0.0148407639825836	-0.0192035045577996	-0.00661770900378265	0.00657841026147932	0.00390887211155888	0.00315636865353839
Otu1	-0.124060899202688	0.180710116171543	-0.00432228708112801	-0.0347131936469743	0.00751003020293322	0.0015349150905541	-0.0049309662598184	-0.010155928380667	0.0170408857623146	0.0104201903127932	-0.00245624024486426	-0.0116896337048885	-0.00129211340486195	-0.00389900073213376	0.00485181000551418
Otu416	-0.000624625188890756	-0.00690900036503057	-0.00496398318547683	0.00454390923244705	0.00638307807348058	0.000371467732583669	0.00106724271781157	0.00321406292488867	0.00300783030856128	0.000554362671351782	0.00777073319631114	0.000766819243265124	0.011119873960392	0.000363277675831555	-0.00193279465218244
Otu160	-0.00286814290184162	-0.00808776112502433	0.00256689610418768	-0.0018190002983109	-0.00450614758683361	0.00557060612672452	-0.000141413690042253	0.00341372255579344	0.00267183805034534	0.00222942685341389	0.00144236614324446	-0.00305847064590714	0.00500890648291675	-0.00385477040652414	0.0030487245100621
Otu3	-0.0914733827551699	-0.0468240532590148	-0.0771198291679686	0.0221715540585348	-0.010294370076895	-0.00143502340277281	0.0100961950475162	0.00187314829528595	-0.00131752747461264	0.00677490897081909	-0.00650203055394294	-0.00504022092649564	0.00939689855396882	-0.00356210241175547	0.00599273021897159
Otu14	-0.0708528354972074	-0.0480937766238506	-0.00986036121016751	0.00802167716132178	0.0225249920850347	0.0104340858914508	-0.00646367647028478	-0.0157972593206442	0.0199526229124855	0.00101105158925545	0.00501842028031784	-0.0293322273160947	0.00267784862273328	0.00509090305860177	0.00294391787616639
Otu4	-0.0718871884705158	-0.0764853856204961	0.0275803608048468	0.027828315986321	0.0284822489684697	0.0718452208363026	0.000474243803815018	0.0129555123733806	0.00666415193234427	0.0158699926807231	0.00330338209328279	0.0230471382554352	0.0138869571285496	0.00230870629067532	0.00444307595918729
Otu34	-0.0428795773295944	-0.0113658658995429	0.0035350874657278	-0.00323159611212458	-0.00491116231729657	0.0211178782043533	-0.00019338478107212	0.00938980880001435	-0.00706853332204267	-0.00571361515992225	0.00644530772087258	0.00504950949753455	-0.0107033340156061	-0.00387400187720694	-0.00183721915029178
Otu9	-0.0785241870333009	-0.00828889603333305	-0.027841145015883	0.0196288079544354	-0.00568825068321764	0.0123334868887945	0.013401926105374	0.0168901272346475	-0.0145284679846817	0.00237566697702474	0.0163459958067975	0.00154044267814899	0.0121045433509116	-0.00323712716962549	0.00181317441860741
Otu547	-0.0222357443145094	0.00409435392193628	0.0034336628179344	-0.00270287185500946	0.00405093289756061	-0.00192356461764064	0.00249996362661108	-0.00126391844147374	-0.00437019424051181	-0.00679157495054436	-0.00670653171804155	-0.00272297150208852	0.00224028587409902	0.00242371520462792	-0.000941605551849116
Otu173	-0.0045124549068408	-0.00597715234584253	-0.00427900501575086	-0.000758656494374897	0.00133750916835753	0.00567012418519759	0.00584457105127705	0.00113429494692666	-0.000896375332656932	3.53344010512584e-05	-0.000158006385973028	0.00190452352686116	-0.000567110324581572	-0.00069529896390366	0.00165945909424366
Otu46	-0.00889576966691636	0.00446300153717876	-0.0104353425035785	-0.00333486926740232	0.0159377480255148	-0.0169528382807573	0.00763091193915078	-0.00488901531011232	-0.0129387205941817	-0.00321834576391115	-0.00638397025111826	0.00255698667647107	0.00103386915964255	-0.00083323701183794	-0.00990980035188899
Otu36	-0.0345143835196289	-0.0135924168741385	0.0115189947460284	-0.00876638476160011	0.0312711806056924	-0.0105115512691926	0.00682487167156951	-0.00639874420066775	0.00811162174682466	0.00235730890935804	0.0018191523884397	0.00399589524473717	-0.00170177881923872	-0.00563638646499869	-0.00281470099302988
Otu354	-0.00281496523612853	-0.00179955120748093	-0.00273587588842141	-0.000444683591535847	0.00320386785340372	0.00295141846416354	4.9567890639771e-05	0.00227666203447699	-0.00153223335471348	-0.00162209342093114	-0.00188594397039411	0.00132046044900853	-0.000140390979919104	-0.000221867721455002	-0.000330307126766139
Otu30	0.0520785754554272	-0.014725789685394	0.00874388053664634	0.0116451650363335	0.0159516427694532	-0.00896653951905346	0.0143730072568685	-0.00658517764749892	-0.0216734725796472	-0.00736269762554445	0.00693404940796408	-0.00553345834369566	-0.00699414479863969	0.0185069628589189	0.00046926403045546
Otu58	-0.0177494702937691	0.00434238138024654	-0.0162274090850485	-0.00633071435061821	0.0120272746576613	-0.00138060575303151	0.00711110962039031	0.000506965667975587	-0.00694802392964045	-0.00773119047553512	-0.00693595324387593	-0.00370858296033248	-0.00330730227756747	0.000778138545712012	-0.00311304449351127
Otu35	-0.0367896470718453	-0.0166791408293423	0.00202409969874463	-0.00325697107820499	0.0197906925521567	0.00288829717999137	0.00845326154724551	-0.0022513397274301	0.00122286549604354	-0.00508381744938985	0.00153943009687129	-0.00872547885038896	0.00190946460869553	0.00361962568153284	-0.00172815056164138
