CS1	CS2	CS3	CS4	CS5	CS6	CS7	CS8	CS9	CS10	CS11	CS12	CS13	CS14	CS15
Otu56	-0.0142648414695802	-0.0470471637432286	-0.0798921612088344	-0.0682719400954549	0.0823601598486482	-0.00374721390761898	0.0408920708904835	-0.0292136211302317	-0.0781638141093787	-0.0913393099546849	0.015209203788534	-0.100949021582162	0.0606679988610278	0.0644770365110385	-0.0604099031298682
Otu40	-0.114281236397091	0.0338211025936486	0.00076682709980985	0.0278924105170127	-0.0999105425204818	0.0402454694506642	0.0728922020411459	0.0199371111322021	-0.161446367018295	-0.1264480517675	-0.186273130498193	-0.0696599281332741	0.0731883341293114	0.0476541315634727	0.0412474539465583
Otu1	-0.308028149981027	0.658605423515194	-0.0202667974599513	-0.177062989464946	0.0460260371669566	0.0102021411459836	-0.0351218981189803	-0.0774031624086143	0.132466983652349	0.0887833514262178	-0.0238254199013213	-0.123048481479222	-0.0143754530120674	-0.0475337868705761	0.0634034967796145
Otu416	-0.00155086850572659	-0.0251801349469452	-0.0232756501191049	0.0231773014242546	0.0391193884326667	0.00246903966370478	0.00760167237578745	0.0244959028108393	0.0233813085699079	0.00472334711658533	0.0753757625013922	0.00807176219844776	0.123714547822377	0.00442881774181287	-0.0252577778944413
Otu160	-0.00712125059235705	-0.0294761768399282	0.0120359343254759	-0.009278248320567	-0.0276164157409634	0.0370262240063119	-0.00100725029387566	0.0260176038565837	0.0207694794902932	0.0189954292449611	0.0139908867164368	-0.0321943508349853	0.0557267647840114	-0.0469945628449388	0.0398407593116723
Otu3	-0.227117303224987	-0.170652180855649	-0.361607623130244	0.113091341655625	-0.0630901670121805	-0.00953818969725078	0.0719123829213298	0.01427615440765	-0.010241773395782	0.0577243894766862	-0.0630694039326241	-0.0530548302010292	0.104545524497655	-0.0434265670832248	0.0783130523882492
Otu14	-0.175918988008125	-0.175279739689439	-0.0462343059999319	0.0409164928226107	0.138046864643273	0.0693523815414891	-0.0460389656918384	-0.120398429663455	0.15510131398303	0.00861448264036942	0.0486784510065248	-0.308759548910369	0.0297924987889471	0.0620645949029893	0.0384711452775003
Otu4	-0.178487160855841	-0.278754122107317	0.129321716908802	0.141945015789195	0.174556561584704	0.477534612922282	0.0033779064149918	0.0987401240670947	0.0518036513706854	0.135217409184387	0.0320426577292392	0.242600874960439	0.154499828676717	0.0281460713416337	0.0580621565868713
Otu34	-0.106464784325191	-0.0414233640206367	0.0165756925272118	-0.0164835328657797	-0.0300985925809676	0.140364490173021	-0.00137742588788803	0.0715642005625894	-0.0549471019920701	-0.0486818270521169	0.062519195003054	0.0531526043991182	-0.119080318054783	-0.0472290189765086	-0.0240087963763178
Otu9	-0.194966022462199	-0.0302092212553532	-0.130544509538403	0.100121453859621	-0.0348610631763486	0.0819771561540881	0.0954581837451842	0.12872769602573	-0.112936754454195	0.0202414418318152	0.158555424135114	0.0162151472952272	0.134669521667995	-0.0394647048116149	0.0236945796064557
Otu547	-0.0552086534006124	0.0149220406466795	0.0161001218962718	-0.0137866476837505	0.0248265829917901	-0.0127853832784362	0.0178065440257594	-0.00963292381845342	-0.0339716172674372	-0.0578663889498622	-0.0650530560265697	-0.0286627893484012	0.0249243790796752	0.029548176542329	-0.0123049098184968
Otu173	-0.0112038776581499	-0.0217839766558037	-0.0200638519276017	-0.0038697098353186	0.00819707045517941	0.0376876920480067	0.0416292503732633	0.00864500149128356	-0.00696795566812761	0.000301060388706842	-0.00153265483731445	0.0200475681135942	-0.00630940580989619	-0.00847658029123836	0.0216858263654595
Otu46	-0.0220871160113131	0.01626559198685	-0.0489303391874775	-0.0170103024217854	0.0976762227525297	-0.112680662291804	0.054352858559538	-0.037261511885728	-0.100578885002688	-0.0274213343894109	-0.0619242243052011	0.0269155848374266	0.0115023476028833	-0.0101582208505268	-0.129501360107573
Otu36	-0.08569502374731	-0.0495381202870188	0.0540114825966337	-0.0447150529701885	0.191648832550642	-0.0698672717282577	0.0486116584242875	-0.0487678740939424	0.0630555289389322	0.0200850252286407	0.0176456963481855	0.0420619545853977	-0.0189331999504422	-0.0687147326594183	-0.036782537886752
Otu354	-0.00698921690490852	-0.00655853811756275	-0.0128282646352427	-0.00226821556334126	0.0196352527105927	0.0196172335118477	0.000353058267546716	0.0173515246070075	-0.0119107852479874	-0.0138207543157704	-0.0182935716890707	0.0138995504226898	-0.00156192477189014	-0.0027048502192332	-0.004316456502707
Otu30	0.129304779783791	-0.0536687439409208	0.0409992331661537	0.0593989638382235	0.0977613782024621	-0.0595980209767826	0.102374924089968	-0.050188772097806	-0.168478304352403	-0.062732536653495	0.0672599673857973	-0.0582467905932368	-0.0778136033061149	0.225623458058725	0.00613234656962181
Otu58	-0.044069779703922	0.0158259868821452	-0.0760887944399616	-0.0322913304885965	0.0737104612701162	-0.00917649115971604	0.0506504515424218	0.0038638265713458	-0.0540103246475142	-0.0658722134940037	-0.0672784345085138	-0.0390376219844934	-0.0367955075065216	0.00948650034425946	-0.0406812934337524
Otu35	-0.0913442268984451	-0.0607878122293433	0.00949081304948862	-0.0166129639805732	0.121289412472616	0.0191976844081851	0.0602102255808954	-0.0171585312565776	0.00950592040418792	-0.0433157492950748	0.0149324027009895	-0.0918469260735209	0.0212438154864906	0.0441278490355881	-0.0225834870790877
Otu189	-0.0119215751559669	-0.004057087112811	-0.0104469980167692	-0.0249772113208254	0.0275836852381985	-0.0186441487980134	0.0153768401512109	0.0147404159006503	-0.0218813940858255	-0.028777247932674	0.0094401336416139	0.0371949623074097	0.0113947678291298	-0.000750764408635597	-0.00724377936625348
Otu210	-0.021446939816833	0.00901846860886216	-0.0210484808248293	-0.00133046088567172	-0.000280164960505169	0.0278994634316988	0.0239438381792967	0.0070012589348561	-0.0231166936326484	-0.0131426274163919	-0.0180000517139208	-0.0162415206824986	0.000340816098439041	-0.00115389195257638	-0.00042508540108784
Otu94	-0.0706589738621933	-0.0276239745436652	-0.0100703732708918	0.011629397376373	0.00603990692351607	0.00564324471658926	0.0224445840122314	-0.0170517656394563	-0.00315820126934135	0.0100569280747535	-0.095696386199954	-0.0537388200390117	0.00436056446099803	0.0239499417645666	-0.0185093128336644
Otu149	-0.0133205083515313	-0.00352052307949081	-0.0216412933572197	-0.00773101587386961	0.0111417018846497	0.0630557096223222	0.0353501409457594	0.00152132870309085	-0.0333412084304208	-0.0239747714116495	-0.0148371210202727	0.0114443287619194	0.0719969986939212	0.0128590290156481	0.0350821388772058
