Comp1	Comp2	Comp3
Otu1	0.198537100560183	-0.0999224373384605	-0.0303594443003943
Otu10	0.0808828613696566	-0.0132503823384391	-0.0104307862641396
Otu100	0.00944890106281559	0.0166650237096303	0.00409336859055048
Otu101	-0.0133682375695553	0.0130705352980536	0.00228572543695499
Otu102	-0.00406926107995709	0.00899751315648995	-0.00563742884925315
Otu103	0.00100209816972178	0.0016314463200902	0.000239993710547729
Otu104	0.0304041698461995	0.00432837552499695	0.0039913139074676
Otu106	0.0134146107491065	-0.0160756695473101	-0.00373101849452187
Otu107	-0.0140942934809964	0.0023120111197217	-0.0175878492465255
Otu108	0.008809236562235	-0.00772439554930724	-0.00193141314400439
Otu109	0.00395126391243837	0.00128699552959952	-0.00301990645430128
Otu11	0.0524533428399213	0.00942676014920917	0.0153805040356729
Otu110	-0.0102740777231448	0.0312710665473811	-0.0180564526199027
Otu111	-0.0181387415342977	-0.00974246793964297	0.0146505768519495
Otu112	0.00521026679779955	0.0172564079734587	0.00261034789271441
Otu113	0.00492999569910098	0.0236993341365969	-0.0133168137410155
Otu114	-0.00599375591499424	-0.0118120407325829	0.00612034924625368
Otu116	-0.0102905016726261	-0.000745602860524476	-0.00348454901671554
Otu117	-0.00602528463880569	-0.000147999122988036	0.0086846121731273
Otu118	-0.00529199337915751	-0.00212596885081471	-0.0046148195148103
Otu119	0.0272298413117544	-0.00556811441858165	0.0138168352675895
Otu12	0.057972993202431	-0.0137372496509065	0.0203541183229361
Otu120	-0.00115469624551184	-0.00636691009301392	0.00671886900530225
Otu121	0.0166251669382338	0.0272872364940043	0.00853528430777773
Otu122	-0.00392453655432173	-0.00142439003245056	0.00614937071873637
Otu123	-0.0110504159705575	0.00127869882575635	-0.0109372438185887
Otu124	0.00707207502581038	-0.00204601992980764	0.000806092993966572
Otu125	0.00386093143887076	0.0103585913269977	-0.00188154181744387
Otu126	-0.00890213813588066	0.000132769152253945	-0.00513280845200614
Otu128	0.00141718082244979	0.00230721351215524	0.000339402360340841
Otu129	-0.000874383007777523	0.000681905842078292	-0.000324817791108563
Otu13	0.0755939056213116	0.0767578957202143	0.00962270730040834
Otu130	-0.00274418456444842	0.00665018221104988	-0.00330433728301501
Otu131	-0.00447233904903646	-0.00500247783763319	-0.000423761620112254
Otu132	-0.00130555288000918	-0.0104135099370726	-0.000501466040009462
Otu133	-0.000831894741293527	-0.00113116506736953	-0.00293643001458103
Otu134	0.0101875804291394	-0.00491191074152662	0.00345108392628659
Otu135	0.00208654550256525	-0.00250045391715142	-0.000580332892644751
Otu136	-0.00090926743570294	0.000471205444672941	-0.0161626982247109
Otu137	-0.00129614035479735	-0.00614572012004732	0.00390265491971891
Otu138	0.0052538515884055	0.019116623368582	0.00102037287044518
Otu139	0.0147843631339139	0.00576152563033848	-0.000432421932452504
Otu14	0.0102670580633417	0.0112605490433288	0.00212161880798565
Otu140	0.0147749679069972	0.0168673179998793	0.00279698671200996
Otu141	0.00163082395619601	0.000958717113553481	-0.00310681132810301
Otu142	0.00201632662128173	0.00673346615238758	-0.0014342194673185
Otu143	0.0155874821027536	0.0219720220102155	0.00310950240024751
Otu144	-0.0120247375397017	0.00335499736932809	0.0112916159248084
Otu145	-0.00249000351229261	-0.00937277835961435	0.000634372868147038
Otu146	0.00992610541162591	0.0159579485449468	-0.00512744163833497
Otu147	-0.0169507155855011	-0.00456492413229918	0.00715832754689765
Otu148	-0.00319987092395715	0.00327889297141808	-0.00146401934243202
Otu149	-0.00539989080879888	-0.000422231581836037	0.000248172821210931
Otu15	-0.00709085840330083	-0.00933263962268454	-0.018028680343398
Otu150	0.00168611171170523	-0.00304326747389009	0.00672463700886762
Otu151	0.0132185827177574	0.0215202549842803	0.00316573446641206
Otu152	0.00507964770970346	-0.00238861230098818	-0.00299307002814673
Otu153	-0.0140575921887488	-0.000985795616750117	4.03454079366297e-05
Otu154	-0.0056151354324896	0.00830995390740728	-0.00400565308134571
Otu155	0.000379102755697251	-0.00807233883000551	-0.00770463283526639
Otu156	0.00341168541416779	-0.00257158200516671	0.00549466251664744
Otu157	-0.00131222919161399	0.00461412199013447	-0.00411268829987577
Otu158	-0.0126941925079888	-0.000725973962320288	0.0026263714881217
