Comp1	Comp2	Comp3
Otu1	0.14147428585466	0.101500644502955	-0.00626260378089032
Otu10	-0.0258920344427003	-0.00190843586104879	0.00235636495921205
Otu100	-0.00997928785812159	-0.00152489107669646	-0.00186929748623117
Otu101	-0.0198210876594365	0.00643015634818007	-0.00732026057656334
Otu102	-0.0484673857094904	-0.0144932327791445	-0.00577720133594247
Otu103	0.0333959897202821	0.000929706772887736	-0.00656591115573489
Otu104	0.0279583302364498	-0.0160958178454496	0.00945135691816479
Otu105	-0.0177333557580883	0.0239149207002903	0.0219581838213785
Otu106	0.0227304109939365	-0.0206973908592796	0.0178369241653265
Otu107	0.00212535263679864	0.00588787689130165	-0.00185608108825661
Otu108	0.0286570427681752	0.00316820471180732	-0.00811305406364075
Otu109	0.0261061678097907	0.011500938672136	-0.00481591967440669
Otu11	0.0061238775253073	-0.00205453299950647	0.0302308369477171
Otu110	0.00442836408789856	0.00172886718497187	0.00147390128153482
Otu111	-0.0142409176282766	-0.000672277813353441	0.00421913056266982
Otu112	-0.00324735084684546	0.0203628840056983	0.0095594918458534
Otu113	-0.00972516161110008	0.0036132313442085	-0.00925429463419001
Otu114	-0.0201544036362396	-0.0068316554926172	-0.0159017713780266
Otu116	-0.0310622164784608	-0.00252292591765993	-0.00471194979796895
Otu117	-0.00859607204254765	8.27469517106277e-05	-0.0196678077899242
Otu118	0.00817713829981868	-0.0134344418975419	0.0122194207045117
Otu119	0.00575981858656404	-0.00542146086115299	0.000274148214274038
Otu12	0.00541931569964168	-0.0471044677312149	0.0147936344941011
Otu120	-0.00323242582495185	-0.00273553406588398	0.0136426591692305
Otu121	-0.00742676370409971	-0.00724525358039687	-0.0114731369310733
Otu122	0.00624928091340032	0.00859664471528669	-0.00619682896874606
Otu123	-0.0157811967968979	0.018500034245866	0.0168992240151401
Otu124	0.00326798679234089	0.00274053259782011	-0.00341326739788086
Otu125	0.00717112348440432	-0.00952453913892454	0.010903290923982
Otu126	-0.0018693870966416	0.011353157527266	0.0134885133308465
Otu127	-0.0217082189484739	-0.0171137870615655	-0.017166162321093
Otu128	0.025607194771129	0.00574435795300327	-0.0102962142353662
Otu129	0.0116074955993464	0.00828581521315466	-0.0152850957348269
Otu13	0.0404313660968711	0.00968807710832766	-0.0169033145977401
Otu130	0.00647958764801589	-0.00858576007333941	0.0111482623398338
Otu131	-0.00318916816666747	-0.0025141972741945	-0.00252189175667611
Otu132	-0.0185236667264906	-0.00649025946098314	-0.00991174285909397
Otu133	0.0250476232960375	-0.00516641525023009	0.0105216139783164
Otu134	0.0120785326218875	-0.00285982211340077	0.0116718052481658
Otu135	0.0166234236046132	0.0139403973059456	-0.0173624293598035
Otu136	0.00767254680153145	-0.0188736885988837	0.0220748587195066
Otu137	0.00344830917029608	-0.0055487830215534	0.011450681653719
Otu138	-0.0165880892377257	-0.00133424576152227	0.00637115429906606
Otu139	0.00598647740714458	-0.00685826513862932	0.00413437780817716
Otu14	-0.00359478987234573	-0.00515875732878388	-0.00323814708338221
Otu140	1.16372091037789e-05	-0.00538070012384042	0.000714687353370544
Otu141	0.00865614210607455	-0.00760198011079887	0.00748389516024204
Otu142	0.00388776937350042	-0.00560845725857131	0.00887274847655499
Otu143	-0.005660027918088	-0.00440035061032609	-0.00751755508758833
Otu144	-0.0148119629473774	0.00530467902758855	0.00133455572512483
Otu145	-0.00512454177691957	-0.00845190023783307	0.00107006246878446
Otu146	0.000500034780649149	-0.0039227383628251	0.00842192719146545
Otu147	-0.0156650118223915	-0.00320575007262791	0.00209278902082166
Otu148	0.00863405066393704	-0.0185795851558825	0.0121029324155378
Otu149	0.0100140132813318	0.00667284935958552	-0.0113122719026089
Otu15	-0.0208427113342235	0.0396589253633004	0.0160953880260029
Otu150	0.00686754209860199	-0.000710114374260479	0.00488425401842007
Otu152	-0.000806277017154724	0.00153690877182439	0.00359802436960886
Otu153	-0.0151582615479686	-0.00479691026003019	-0.00709074957517777
Otu154	-0.00320054432913596	-0.00418969816931296	-0.00451156438899412
Otu155	0.00355293444530838	-0.0112566927391679	0.0160182914314785
Otu156	0.00227680175735288	0.00414522767407834	-0.00878483191321259
Otu157	-0.0128430163035826	0.0170647400363224	0.0134849479507613
Otu158	0.00577769567742596	-0.014124906878204	0.00837594112750737
Otu159	0.0162708758834873	-0.0155918003142654	0.009559636098203
Otu16	0.0858581150664545	-0.0487466361236611	0.036595640534274
Otu160	0.0183484087760892	-0.00354555415931119	0.0107784375765025
Otu161	0.0164271633007128	0.00800085276941144	-0.00708513548049572
Otu162	0.00834632029535484	-0.00585049935014511	0.00639842924932005
Otu163	-0.00130197245204377	-0.00102641673907881	-0.00102955799839793
Otu164	-0.00335241586119182	-0.00162961502129358	0.00480360926669976
Otu165	0.00293245938609235	-0.000437213319253247	-0.00467596298740998
Otu166	-0.0199898423155158	-0.00974223120832574	-0.0100943517574757
Otu167	-0.000114001818169556	-0.00303688991851079	-0.00656129344226697
Otu168	-0.0147450481430318	-0.00394471492324312	-0.0089870232270952
Otu169	0.0153537146873068	-0.00956664318315212	0.00763500667447536
Otu17	0.020234985495809	0.0174851410837446	-0.00609066044329664
Otu170	-0.00231589339456517	-0.00277025886336115	0.000423523404425228
Otu171	0.00054372481408391	-0.000269632572606708	0.00422407545881903
Otu172	-0.0194770987831202	0.00162757371001545	-0.000746150600143844
Otu173	-0.01095308502955	0.00741005115584362	0.00657324818386598
Otu174	0.00504364783593516	-0.00111926889496329	0.00444999479982801
Otu175	0.0128134161625099	-0.000388185918177797	0.00155283204379773
Otu176	0.00877525288931865	-0.00679306423388642	0.00385165573188521
Otu177	-0.00125252579594014	0.000557397822260715	-0.00175591847036295
Otu178	0.00662610906695002	0.00573795197104527	0.00224618410287326
Otu179	0.020103816036272	0.00142326782328063	-0.00485567090420865
Otu18	0.0300261043331242	-0.00671371952283912	0.00199159361437285
Otu180	0.00353517925833241	-6.26064631264484e-05	-0.000526656120492774
Otu181	0.0106689559948411	-0.00794478610013418	0.0115637528152245
Otu182	0.00759047320514874	-0.00385531080959522	0.00182631842023002
Otu183	0.00121787915863151	-0.00841558650458029	-0.00179234343621601
Otu184	-0.017574409379529	-0.00918003576341978	-0.00891118688247351
Otu185	-0.00378110682550115	-0.000934166021023673	0.00359661718072274
Otu186	-0.0103390410385011	0.0118829938305584	0.0108992205859202
Otu188	-0.00269310340323791	-0.00202257156071237	-0.00580231502440915
Otu189	0.00315310623736977	-0.00874410094434087	0.00386885076853056
Otu19	-0.0528025615079782	0.068426456145917	0.0627406283569787
Otu190	0.000201898696003372	-0.00470841773095108	-0.00500284624448314
Otu191	-0.00527009025083184	-0.00221409095867052	-0.0127497918555612
Otu192	-0.00114945587105204	-0.00433766866263234	0.00474712764274868
Otu193	0.00871889635133085	-0.0067198288853106	0.00890003951368913
Otu194	-0.00481478222373808	-0.000321920087944003	-0.000508988346023425
Otu195	-0.00589215808540771	0.00110974017926618	-0.00227182948368689
Otu196	0.0158248673546839	-0.00361216731590669	0.00539196241598713
Otu197	-0.0118615335462204	-0.00935110152589939	-0.00937971976028108
Otu198	0.00329941842905591	-0.0086975573144954	0.00928500818819307
Otu199	-0.000477671810828554	-0.00381557782067086	-0.00630970896110942
Otu2	-0.123718740430528	0.010992743764867	-0.00926259248770149
Otu20	0.00108466943557726	-0.00123095487942861	0.00110558602408318
Otu200	-0.00569249272468625	0.00409706019022972	0.0013563337303358
Otu201	0.000328487969791388	0.000388775310938768	-0.00448167157268905
Otu202	-0.000219227491671566	-0.00678235102472437	0.00657985856593559
Otu203	0.000202141232026538	7.64695010711603e-05	0.00936582307268245
Otu204	-0.00586530569655538	-0.00323557452877447	-0.00196314827401969
Otu205	-0.0039059173561313	-0.00307925021723643	-0.00308867399519379
Otu206	0.00886127688143431	-0.00610701560975386	0.00490214910058386
Otu207	0.014492516489652	0.00396240501608748	-0.00191397479008168
Otu208	-0.00583909147074226	-0.0141902572835494	0.00424711929573593
Otu209	0.0199137265001648	-0.00159122740427807	-0.0084431381719602
Otu21	-0.0756064233865243	-0.0303336330449615	-0.0319944301415751
Otu210	-0.000306942424514074	-0.00818856554923929	0.0059498411171494
Otu211	-0.00752615148157815	-0.000260526119643873	-0.000565195784746458
Otu212	0.00382219810165031	0.000846881360829335	0.00479267663284414
Otu213	-0.0036825341990329	-0.00290314494610404	-0.0029120297691681
