Comp1	Comp2	Comp3	Comp4	Comp5	Comp6	Comp7	Comp8	Comp9	Comp10	Comp11	Comp12	Comp13	Comp14	Comp15
Otu1	0.187495606024455	-0.0704337475154582	-0.00428209058358722	-0.0512060514563262	0.062022270014549	0.00127014638274119	-0.00407333346358758	0.0158970808505033	0.00357739812995249	-0.0150703956367492	0.00418161376562968	0.00919687596348006	-0.00977302929118287	-0.00711914104415336	0.00119549532556278
Otu10	-0.00907204645269701	0.0331998848650032	-0.0136683170482807	-0.0272969935843367	0.0167712631993414	0.0194190759479879	-0.0438084534315381	0.0161804072271682	-0.0125420588802176	0.0226603886909774	0.0135356742108066	-0.0126294845387969	-0.00632106495335396	-0.0113427195367973	-0.00435707458888014
Otu100	0.00735134477096723	-0.00195553841395022	0.00138095688930627	-0.00612155387126473	0.00660531072231908	-0.00622451457307735	0.0011466783582524	-0.000472541586143834	0.00397761349167297	-0.00399684478241499	-0.00980212479024626	-0.00882807170219817	0.0162190943161705	-0.00615784782739727	-0.00141602875213237
Otu101	-0.0165843227172635	-0.00511384873076633	0.0029049945681375	-0.0117656114352726	-0.00865198600535998	-0.0048058742862266	0.00190954719060162	-0.00992510925961981	0.0110372661923985	-0.00174438841791371	0.00310579220527859	0.00277308397826715	-0.00109955818742297	-0.00038750234697226	0.00192831591081893
Otu102	-0.0224782390572327	0.00511065266761229	-0.015552432743991	-0.0084334356076223	0.00283284149371081	-0.0148184049293638	-0.000547325416091651	-0.00490135591478363	0.00577571745979007	-0.00152664569191649	0.00403683301593237	-0.00262554995946267	-0.00473351437018173	-0.000416145850360095	0.00225413769231261
Otu103	0.0204008096124341	-0.00759435638481945	-4.07454808247845e-05	0.0109191143175495	-0.00737701831698901	-3.36684037911541e-05	0.00165687209750615	-0.000676016038968249	0.00628096218443949	-0.00827468909116965	0.00207218024441873	-0.00411818293840129	-0.0024706962630024	0.00430955254365496	-0.00153596487494148
Otu104	0.0154384911079716	0.0144279188449111	-0.0134599608789804	-0.00617909014335843	-0.00898852596155162	0.00538267564432696	0.00348713344916616	0.000808705966832838	-0.00385761220891323	0.00219834941573696	0.00486421574299081	0.000726542080070153	-0.00676487368351887	-0.00196714676940124	-0.000786535830092362
Otu105	-0.00720095200963263	-0.00213713920126316	-0.0116530089222816	0.00107563311404799	0.004809333171599	0.00746583010925859	0.00635609932014628	-0.0119358678784869	-0.00219860954912059	-0.00335699906220587	0.00162893322762176	0.00507147544692618	-0.000155023777714026	-0.0100496416230125	0.00949045799261786
Otu106	0.0191668226272847	0.00013508522933567	0.00824084416272264	0.00627068245381009	-0.00291458548925672	-0.0016310449916789	0.00646563662017942	0.000848598899611439	-0.0040946326643468	0.0107017787560273	0.00260066545460344	-0.00526272040222891	0.00610038072920141	-0.0133439687648336	-0.00504218858735185
Otu107	-0.0119478893288451	-0.00840954008496167	0.00695266152042373	-0.00539489381913496	-0.00340306154396538	0.00190324988320051	0.00361219824157127	-0.00395638965170705	-0.00357015374989776	0.000404489740595075	-0.00958269827386496	-0.000441746664666012	-0.00669526127883644	0.00474824913800564	-0.00989911700315237
Otu108	0.0193095940679243	0.000531866699241378	0.00550240767987719	0.0102699056240621	-0.00357792223898723	0.0005260499418294	-0.00287136254279429	-0.00496728121300721	0.000629139644082458	0.000995622797262419	0.005284292887306	0.00583874357136582	-0.00587568930092026	0.00709168070983397	-0.000133450098279082
Otu109	0.0138561693375119	-0.00799845954256028	-0.00720094155151845	0.00806608499705317	-0.0053354809732468	0.0070852090443298	0.00382654337781709	-0.00435391402405582	0.00821411060991404	-0.00630932784281756	0.000257538262242107	-0.00460809242055663	-0.00348685139552343	0.000546671643742966	0.000327227916193717
Otu11	-0.017680764650185	0.0436526138689372	-0.0342322334545207	-0.0357154668961955	0.0153444129629822	0.0239958065768297	0.0272268708890783	-0.0209911683549142	-0.0307847294467358	0.0012043409411854	0.00747510604204695	-0.0112830901850929	-0.00144463602705048	0.0173394693588059	-0.0110136283933033
Otu110	0.0029700178805504	-0.00136772794017322	0.00419033900681902	0.00164485863661204	-0.00577995705832973	-0.00237230305959514	-0.00433096465505749	0.00113634362580506	-0.00342298559469516	-0.00574155421412772	-0.0227779549630245	0.00886181241993809	0.0027269966655886	-0.00408676592833941	-0.00697159367455837
Otu111	-0.016995565948643	0.00321835105274294	0.00751872183471303	0.00248135127239416	0.00402844591103211	0.00322028104673813	0.00287469640440069	0.00474007311592376	-0.00633761662300236	0.0026981163465067	0.000583389573344432	-0.00142629778705379	0.00211113158770826	0.00338653397212518	0.00408087645584115
Otu112	-0.00271994791023086	-0.0013753391203406	-0.00490890878835261	-0.00109774566024488	-0.00440972699516304	0.00751814230702409	-0.00261239423365878	-0.00907561275930977	-0.000193524708774854	-0.00581797258248976	-0.00357246710155881	0.00121220695855875	-9.20142434632019e-05	-0.00385682633273095	0.00678402966198889
Otu113	-0.00659901905330063	-0.000766890670345931	0.000678001159845918	-0.00699383570886007	-0.00902661893305282	-0.00201159577896148	-0.011506111520014	-0.00578105344686969	0.00513931511416044	0.00091296723813247	-0.00700616573948788	0.00201479354114044	-0.00231878482247255	-0.00169455703826056	-0.00230358023696591
Otu114	-0.00606874409383217	0.00257484614977568	0.00349202882439387	-0.00112730318381748	0.00654543812202599	-0.010570085085318	0.00242068999935374	-0.002556979508822	0.00587044051096262	0.00211920906116761	0.00518472709200586	0.0003855213978587	-0.0032830234448135	0.00625318339127236	0.00227177907772411
Otu115	0.00292605565147326	0.00698100428111576	0.00901904992178891	0.0114318199181717	0.000403942410681724	-0.00065603434854285	-0.00372389140413289	-0.008396996927691	-0.00159193031444652	0.00284076249476033	-0.000582007573689029	-3.72370641184752e-06	0.00041953724247216	-0.000916532364357549	0.000270737775007428
Otu116	-0.0197959833349783	-0.00686128562403693	-0.00367812956069779	-0.000276623012346208	-0.000594693523820107	-0.00405666491505768	0.00132235298440738	-0.00252960099802022	0.00218083338664635	0.00683791164024374	-0.00426252359295561	-0.00217452787179685	-0.000762945428301261	-0.000225107869123929	0.00648595315724624
Otu117	-0.00464077500589954	0.0076373309803495	-0.00393107412710809	-0.0047073036181866	0.00346367829816785	-0.0027454144892828	0.00723660994120111	-0.00358744278802362	0.0102698075407325	-0.00262593811322353	0.00104849565159348	0.00342504475182098	-0.00456283374624768	0.00649265780479905	0.000948966245764597
Otu118	0.00369079399260586	-0.00266123146165248	0.00177783573712026	0.00260878672860819	-0.00375865302288901	-0.00372367072861511	0.0102496295897658	-0.00242154235898915	-0.00182386961450726	0.00110565558019754	-0.000707536004014436	-0.00386400725987895	0.00304262384509999	-0.00579603794114376	-0.00525639879455727
Otu119	0.0175928891329883	0.0141129363188428	0.0114601017218282	-0.00664283474701992	0.00206104596774966	-0.00600447874818556	-0.0109165543211467	0.00266103992243759	-0.00285561162349216	-0.000268407534789555	0.00527420743453751	0.00463917764221903	-0.00737960159616435	-0.00164417656255108	0.00355077282543845
Otu12	0.0284582083784246	0.0540242094179397	-0.0110503292064837	-0.00793454638142207	0.0216864602812557	-0.0105814471828081	0.013424880340226	-0.0019904414434005	-0.0228889372771296	0.0107650051502183	0.00485207206111678	0.00881583770985232	-0.000251972111178531	0.00226970774249321	-0.0023309763006742
Otu120	-0.00774847695193352	-0.00591200456763943	-2.31057260973157e-05	0.0010923372133964	-0.00103102632540065	0.000750057548121984	0.000371180749257294	0.000961457581300921	-0.00945382192955827	0.0012565758049573	0.00770613126298909	-0.00765652466700214	0.00371846157015601	0.00428146416663679	0.00349250236254618
