CS1	CS2	CS3	CS4	CS5	CS6	CS7	CS8	CS9	CS10	CS11	CS12	CS13	CS14	CS15
Otu1	0.480474337466976	-0.336177861978096	-0.0210409742853367	-0.283537437281981	0.398994952967503	0.00872844831603571	-0.0294357190512622	0.125968180091107	0.0297031329703977	-0.143559874432203	0.0413987508161703	0.097040270503242	-0.105614147531815	-0.0783887663457116	0.0170024052175676
Otu10	-0.0232479341849787	0.15846191215917	-0.0671622194633207	-0.151148533938547	0.107891074768098	0.133447926207827	-0.316579366459554	0.12821325315678	-0.104136701901448	0.215861788467509	0.134005681822617	-0.133259228549779	-0.0683098215150143	-0.124894532357264	-0.0619665724652108
Otu100	0.0188384815154607	-0.00933371780159133	0.00678562908230453	-0.0338961831166061	0.0424925698522356	-0.0427748757794852	0.00828640775360242	-0.00374441095089602	0.033026120704541	-0.0380737539291484	-0.0970428510150326	-0.0931488550465524	0.175274806705621	-0.0678039796571692	-0.0201388446518161
Otu101	-0.0424988171129535	-0.0244082246569532	0.0142743164382148	-0.0651483803092697	-0.0556590197113765	-0.0330259770768811	0.0137992371899183	-0.0786463856098538	0.0916424097719424	-0.0166169613773125	0.0307479181004109	0.0292600248658159	-0.0118825900512827	-0.00426678313392452	0.0274246229175277
Otu102	-0.0576025073197689	0.0243929699571002	-0.0764202277025644	-0.0466975025736419	0.0182239292157864	-0.101832106369425	-0.00395521685658884	-0.038838255297955	0.0479557760907843	-0.0145427544914322	0.0399653945772555	-0.0277033287496491	-0.0511536464428042	-0.00458217636471823	0.0320584795618919
Otu103	0.0522789077043529	-0.0362476026422984	-0.000200211695092112	0.0604611682200792	-0.0474570356057104	-0.000231369333777326	0.0119732946006123	-0.00535673882155121	0.0521508225166214	-0.078824296025587	0.0205149682378578	-0.0434527537297653	-0.0267000611430129	0.0474524251316208	-0.0218445832830102
Otu104	0.0395625206578173	0.0688639619666861	-0.0661384165533024	-0.0342147721637253	-0.0578240121239546	0.0369897570877588	0.0251995770593033	0.00640817140132534	-0.0320297501779879	0.0209413723228159	0.0481566368265113	0.00766606402673691	-0.073105927134572	-0.0216602266366046	-0.0111861590885526
Otu105	-0.0184530865513107	-0.0102004921330154	-0.0572595689638875	0.0059559807471764	0.0309388815042897	0.0513051984640776	0.0459320002946579	-0.0945796004059006	-0.018255052810793	-0.0319786139299561	0.0161267406714542	0.0535113609419653	-0.00167529469549423	-0.110656468829401	0.134973854803515
Otu106	0.049116705177563	0.000644757168045327	0.0404931625645471	0.0347219358336745	-0.0187497958383813	-0.0112085442311566	0.0467235655367948	0.00672428227651524	-0.0339977307741373	0.101944637118226	0.0257470697069837	-0.0555292703134357	0.0659249543962163	-0.146930260707514	-0.0717103042667219
Otu107	-0.030617539958013	-0.0401384464934375	0.0341633997250319	-0.0298725311634421	-0.0218922071114371	0.0130791367544301	0.0261033508665179	-0.0313503597826294	-0.0296429828903012	0.0038531500943043	-0.0948704878597372	-0.00466106273514142	-0.0723536471035679	0.0522829074353051	-0.140785827418002
