RS1	RS2	RS3	RS4	RS5	RS6	RS7	RS8	RS9	RS10	RS11	RS12	RS13	RS14	RS15
611A	-1.01246269842067	1.4215975134009	1.6347200657624	-0.142435926501868	0.105084633732547	0.638376249556159	0.975265118723548	1.91234734610027	0.812089994383984	-1.25197485347218	0.92849154093927	0.174691235825307	0.0709904170307461	-0.136433042685	1.04470201054321
612A	-1.36666997513966	-0.270915152943578	-0.147851478690171	0.560748016193948	0.0013958123106989	-0.0558934979570095	-0.704769540877456	0.570734512098137	0.424241249591957	-0.481277617732174	-0.297765684564543	1.35633807153887	-0.4312974871234	-0.924711000026095	-2.91820520778151
621A	-0.81392162025515	-1.53497980430645	-0.164584215833173	-0.428205191771612	0.462661138620858	0.30068896021865	-0.422240874447254	-1.60419248651469	-0.400384577448504	-0.981936150300814	0.94016753175701	0.809784952753339	0.0877745661807932	-1.90738468665914	1.55072147347211
622A	-0.985058352077213	0.0863605434060371	-0.639505032348249	-0.0322143158633352	-0.214812312177695	-2.60516447179819	-0.252570325712856	0.00378793025642416	1.97980665626447	1.41084392718119	0.143792100278709	-0.140491946294212	0.0722082754363041	0.103678632838415	0.865374281160039
631A	-1.01020450840543	-1.03408590619196	1.18800368169256	-0.535230843093215	-1.09473515931483	0.288334403628587	0.420669646873709	0.104429017123788	-0.818529552317761	0.644941527754891	-2.35558144333451	-0.4136399058977	-1.56656214259815	0.331663777207269	0.610703119378443
632A	-0.845121042736726	0.0524184908837552	0.577351452148584	-1.36419046077588	0.619458821563179	-0.496796017593302	1.19633383558135	-1.6617731221971	-0.523113962284884	-0.450468538802002	0.945905122640754	-1.22742605465473	0.507070390095438	1.49314262273601	-1.37875151018266
641A	-1.14269429608529	-0.843586250107016	-0.596829688766881	0.956425383785385	0.0557432071371432	0.947240695239513	-1.49186556040184	1.17803531695601	-1.16361722534065	0.87664477972127	0.654897822605687	-0.878444756128933	1.56425603813283	1.13884708253095	0.361825094822188
642A	-0.569682464128153	1.31593964276666	-2.38115233044094	0.815720526638376	0.471189173986867	1.30636777641656	1.8012504553445	-0.631711928013609	0.0188947125958448	0.438301617644931	-0.796384281168201	0.238093714768511	-0.166917352827292	-0.0622473826193244	0.348110876998924
711A	0.990399868425376	0.422199110651934	0.0303342279178271	-1.15854648292631	1.60016372777865	0.619937295959523	-0.656581719942652	0.631792686032773	-0.267724992639989	1.76927116690298	1.01969227025254	-0.656971604325197	-1.79459422082193	-0.852917272334775	-0.318089128894461
712A	0.490459541701093	1.79546864236239	-0.670649964779008	-1.82834260268034	-1.19276185428751	0.224664111873681	-1.87807279957201	-0.343284142983796	-0.0342653448424388	-0.871133220794722	-1.00186239838905	-0.320828745356672	0.818353358951432	-0.288564264880551	0.0727969108855119
721A	1.2522386248924	-1.17997697367559	0.18292999370117	-0.104184082615588	-0.761890016647388	1.71100784196154	-0.173860735366511	-0.580400193662914	2.27438505938852	0.128470812855592	0.408543613230924	0.769071945898446	-0.130885441889721	1.46544721689215	-0.0879809924309147
722A	1.12181666237782	-0.234269047162849	-0.338418676777828	0.258540892880854	-2.64353328282891	-0.52269154046641	1.2594039069808	0.472045116113744	-1.04208358257877	0.445272006128926	1.41694582007106	-0.164838965051762	0.106836915607938	-0.945010840983789	-0.459677092046774
731A	0.592096811444114	1.41262876303982	1.82503388076633	2.31326568212903	0.0817390514262009	-0.132750669241188	-0.753541452788524	-1.69915944834766	-0.322132240632683	0.574837465709422	-0.117771112263053	-0.000753504019001296	0.0848947160060867	-0.185463284079442	0.0547846631825501
732A	0.976232620388479	0.0944216307828663	-0.168010671634442	-0.34869924502446	0.788170726408068	-1.1718126173903	0.0606022143966817	0.510247262936623	-1.47159333273526	-0.225074130943135	-0.139889115222242	2.60036389221461	-0.0592911666829611	1.54502696233077	0.491449367343909
741A	0.987360193550051	-0.60469524521165	-0.902718261465458	1.21854550135007	0.501374801713246	-0.841268175161053	-0.358392977136395	0.485404642712568	0.127333385459719	-2.26394112209716	-0.22013425326562	-1.67779760250409	-1.3604728685451	0.407419776117135	0.120638728379244
742A	1.33521063446897	-0.898525957695286	0.571347018747268	-0.181196851725056	1.22075153057888	-0.210240345246741	0.978370808344905	0.651697491389466	0.406693753136449	0.237222330242986	-1.52904753356874	-0.46715072876677	2.19763600304701	-1.18249429638459	-0.358402594829867
