Group	C	A	D	C	A	D	C	A	C	D	D	B	B	A	B	B
Sample	937A	913A	947A	935A	914A	949A	936A	912A	934A	9410A	9411A	929A	9211A	916A	928A	927A
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae	0.023152	0.000000	0.240138	0.012917	0.000000	0.005907	0.013162	0.000000	0.005465	0.000000	0.001960	0.000000	0.086210	0.000000	0.671318	0.000000
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae|Mucispirillum	0.023152	0.000000	0.240138	0.012917	0.000000	0.005907	0.013162	0.000000	0.005465	0.000000	0.001960	0.000000	0.086210	0.000000	0.671318	0.000000
Bacteria|Firmicutes	19.246225	20.138902	7.138291	13.165665	31.143693	15.928019	17.119488	32.163731	15.083066	10.417673	13.879088	9.904641	13.916827	9.083769	7.433327	3.382906
Bacteria|Firmicutes|Bacilli	14.946501	15.314676	0.72816	8.349633	27.599716	2.2819	5.871956	25.998889	4.59232	1.13673	0.739042	0.258668	0.377684	5.985415	0.722176	0.370431
Bacteria|Firmicutes|Bacilli|Bacillales	0.749144	3.931819	0.402812	0.762077	2.256310	0.324861	4.595281	2.882165	1.876275	0.070417	0.572414	0.183384	0.100579	0.979806	0.054926	0.021790
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	0.749144	3.931819	0.402812	0.762077	2.256310	0.324861	4.595281	2.882165	1.876275	0.070417	0.572414	0.183384	0.100579	0.979806	0.054926	0.021790
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	0.749144	3.931819	0.402812	0.762077	2.256310	0.324861	4.595281	2.882165	1.876275	0.070417	0.572414	0.183384	0.100579	0.979806	0.054926	0.021790
Bacteria|Firmicutes|Bacilli|Lactobacillales	14.197357	11.382857	0.325348	7.587556	25.343406	1.957039	1.276675	23.116724	2.716045	1.066313	0.166628	0.075284	0.277105	5.005609	0.66725	0.348641
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae	0.019845	0.037339	0.106513	0.035059	0.031407	0.009844	0.716367	0.019163	0.174876	0.010060	0.082334	0.069493	0.020526	0.011219	0.004069	0.312324
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus	0.019845	0.037339	0.106513	0.035059	0.031407	0.009844	0.716367	0.019163	0.174876	0.010060	0.082334	0.069493	0.020526	0.011219	0.004069	0.312324
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	14.177512	11.345518	0.218835	7.552497	25.311999	1.947195	0.560308	23.097561	2.541169	1.056253	0.084294	0.005791	0.256579	4.994390	0.663181	0.036317
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	14.177512	11.345518	0.218835	7.552497	25.311999	1.947195	0.560308	23.097561	2.541169	1.056253	0.084294	0.005791	0.256579	4.994390	0.663181	0.036317
Bacteria|Firmicutes|Clostridia	4.27161	4.379889	5.788484	4.816032	2.965436	13.62643	11.06515	5.108943	10.255756	8.665298	12.896966	9.4124	10.322673	3.060957	6.180199	3.007027
Bacteria|Firmicutes|Clostridia|Clostridiales	4.27161	4.379889	5.788484	4.816032	2.965436	13.62643	11.06515	5.108943	10.255756	8.665298	12.896966	9.4124	10.322673	3.060957	6.180199	3.007027
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	0.859945	0.679573	0.486085	0.965052	0.115708	1.791656	0.458776	0.498247	0.207665	1.599469	2.322983	0.324299	2.413892	0.663799	0.528918	0.052659
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus	0.831831	0.461139	0.137498	0.950290	0.115708	0.714694	0.319639	0.477167	0.076508	0.454692	0.613581	0.179523	0.176526	0.405759	0.353968	0.039948
