CS1	CS2	CS3
Otu1	-0.505638346234609	-0.260414349189197	-0.0923248467093108
Otu10	0.0912238158315147	0.396717624344284	0.0709855035534357
Otu100	0.0142068023542471	-0.00584718835864014	-0.0015460163740055
Otu101	0.0741015982450833	-0.0401338060619514	-0.0642933354558424
Otu102	0.0188164614207985	0.00454961237611482	-0.0414383988331776
Otu103	0.0157683963937328	0.0304454852663691	0.013421539876421
Otu104	0.0162786506948028	-0.000736336522268968	0.0174149523118232
Otu105	-0.0430498674828785	-0.00927368395265505	0.0225444905281811
Otu106	0.0275297869644662	-0.0138842398818564	-0.0178981871033583
Otu107	0.000748848002550107	0.0101623468128799	-0.00635428199167174
Otu108	0.0262098359997945	-0.0155614966636418	-0.0307129635866054
Otu109	0.0284157521995323	-0.0104777743274263	-0.0180710814968487
Otu11	0.0283858390512368	0.201780092591904	-0.0697839946377633
Otu110	-0.0300564858510496	0.0827860830375924	-0.0331313251519249
Otu111	-0.00164398379499242	0.00608090277443146	-0.00342723706314921
Otu112	0.015938965373664	-0.0120320424668388	-0.0336674394944628
Otu113	0.0703127547976192	-0.0300411077894592	-0.0843711593940319
Otu114	0.032103098657358	0.0410615642226507	0.139172405754123
Otu115	0.0383598970825605	0.0375083277686394	-0.00849565937879126
Otu116	0.0099525060725206	0.0794076664684032	-0.0022634532583326
Otu117	0.0770009328312583	-0.0127653603692999	0.102070733928886
Otu118	-0.0204298916324184	0.0798178803421022	0.0134010979339635
Otu119	0.0144804587755456	0.0498649369195182	0.0546853539762512
Otu12	-0.249111249196064	-0.0983946381710488	0.0113599810741059
Otu120	0.0437028402848196	-0.0152288344024716	0.0454264136721502
Otu121	0.0178767757213574	0.0879751918517198	-0.0100041107821205
Otu122	0.033669124888895	-0.0162916797327497	-0.0178696780730344
Otu123	0.00332350402556556	-0.00250885428488273	-0.00702014641898993
Otu124	0.0047001444675564	-0.00354805575569901	-0.00992798627558047
Otu125	0.00190391263246616	-0.00598639454111	0.00351641813473425
Otu126	0.0785925886387392	-0.00198127040456223	0.168653864858608
Otu128	0.0141012093171628	-0.00820611551880819	-0.0155542864334509
Otu129	0.0182035812476148	-0.0137415608532376	-0.038450925506699
Otu13	-0.0709870553963584	-0.255967042182316	0.0577194769922699
Otu130	0.0388018817435852	0.00211069184399435	0.0633132115622557
Otu131	0.0838124501985332	-0.030916351225158	0.0117649395847451
Otu132	0.00473631651651207	0.00187759776637672	0.0218177880539928
Otu133	0.0275488852808376	-0.00197328484052584	0.017069189471776
Otu134	0.0104530659479679	0.011638081206439	-0.0192493871189915
Otu135	0.00128861003534738	0.0831501107174894	-0.00619858355514859
Otu136	0.00809438951305498	0.0169136906662222	0.0319528445682365
Otu137	0.00943646098406847	-0.00167045798932229	0.0118898017784123
Otu139	0.00128759011623911	0.013324992214371	-0.015984675268507
Otu14	0.0233530543287135	-0.0198970398175181	0.0136533882821364
Otu140	-0.00164398379499242	0.00608090277443146	-0.00342723706314921
Otu141	0.00855835414948165	0.00526136110131574	0.000627284908811084
Otu142	0.00623063917522202	0.00257512693223171	-0.00582927589593033
Otu143	0.0504034341273352	-0.0380486590990815	-0.10646579178841
Otu144	0.0205612377705727	-0.00332812661462808	0.0277256179504409
Otu145	0.0068182896063316	-0.00270836850769498	-0.00017077483409833
Otu146	-0.00353773653187461	-0.0043172275042313	0.00077935311224204
Otu147	-0.0395838478683719	-0.0361643746225833	0.0465775705098335
Otu148	0.0112543602297436	-0.00218685487227482	-0.00257083760882204
Otu149	0.00639536070375549	0.00948451310593887	0.0180146382239932
Otu15	0.184960790013841	-0.0984849032442004	0.0377598629918795
Otu150	0.00483684597990706	0.00864089457907736	-0.00392798376665649
Otu151	0.0552081795082646	0.0213587034635746	-0.049475907666821
Otu152	-0.00164398379499242	0.00608090277443146	-0.00342723706314921
Otu153	-0.000152549697864135	-0.00216643138058705	0.00962877342085799
Otu154	-0.0104075770150644	0.00955292588623171	0.0237668249523416
Otu155	0.0127387976232413	-0.0130856921221882	-0.00608035569571635
Otu156	0.0463599171826832	-0.0307724358192886	-0.0732754275313693
Otu157	0.0190500976589328	-0.00474983643841221	0.0424805866584358
Otu16	-0.0168512495565691	-0.255283044218671	0.172767000539636
Otu160	0.0293281954155262	-0.0172620599770761	-0.0334865202917685
Otu161	0.00738109823238763	0.00199738968599148	-0.00762113738806187
Otu162	-0.00507602273343815	-0.012161593103328	0.00822640657135176
Otu163	0.0718946688745599	-0.0294026911939818	-0.00672966921659978
Otu164	0.0171265011215349	0.00413215044152342	0.011386469460641
Otu165	0.0181893189065289	0.0183194199361713	0.00432849967871928
Otu166	0.012288941280237	0.00619295887696175	0.0291754753054498
Otu167	0.0266712614589352	-0.0161859983533176	0.000492160564415908
Otu169	0.00355452905436303	0.0293430860700572	-0.00341826635743634
Otu17	0.0470948940767022	0.00408715810033545	0.0504941662900461
Otu171	0.00621245973920116	0.0121060615136285	0.00630866802028833
Otu172	0.0116350744995659	0.00750632681241169	0.0207834220078482
Otu173	0.0245957799681886	-0.0108552695752877	-0.00694963366953758
Otu174	0.0176834914024311	-0.0134392479837626	-0.00379343773948052
Otu175	0.0246841314043637	0.000412754219628491	0.0590104808524367
Otu176	0.0324186126078233	0.0100040252733539	-0.00536662236377932
Otu177	0.0172154460454201	-0.00536432642147374	-0.00307922699061812
Otu178	0.0124546408847823	-0.00169013886431238	0.018695761492675
Otu179	-0.00511387085624204	0.0152959492570659	-0.00339539257665214
Otu18	0.00920981735851845	0.0183860203058662	-0.00649995595264201
Otu180	0.000474161343782777	0.00692059002243548	0.00632997437833293
Otu181	0.001770380202879	0.0419330293333012	-0.00026243002602181
Otu182	0.0055214160059733	0.00843875778151348	0.00103585095830139
Otu183	0.016525481480006	0.00281753094668692	0.00463462622897899
Otu184	-0.00464988835839975	0.0171993903501463	-0.00969369027234668
Otu185	0.00537112669659761	0.0187450961774197	0.0355027628931442
Otu186	-0.0083988205318046	0.0227340128837366	-0.0110116178380427
Otu187	0.00759575813337368	0.0132523104153596	-0.00337658365937741
Otu188	0.0241211873061063	0.000962512977293546	-0.0251575262819492
Otu189	0.0136365792126632	-0.00541673701538997	-0.000341549668196659
Otu19	0.147963130378091	-0.0701640485134837	-0.0194068322261911
Otu190	0.0171515652786202	-0.00785974235166579	0.0027986442107751
Otu191	0.0190312980951837	-0.0040735419260306	-0.0152768885036192
Otu193	0.0356508670250383	-0.00301285278037242	-0.0061218149351013
Otu194	0.0060439352865202	0.0065060203953848	0.00212515454508562
Otu195	-0.00979790370128732	-0.00879879939054331	0.0109738434264312
Otu196	-0.018924851974203	0.0226094545339562	-0.0119830830982593
Otu197	-0.00105161152274069	0.00296168858710869	-0.00467412538354551
Otu199	0.00171638866926053	0.0289294228879675	-0.0467145864743367
Otu2	0.0935643936789245	-0.0214064655271895	0.0399225591059791
Otu20	-0.000763790650807903	0.200260922593229	0.0271912669291597
Otu200	-0.010874258320938	0.0297318659756906	0.00450161394181341
Otu201	0.00366873499816368	0.00145438097601065	0.0168999859568394
Otu202	0.028400067100399	-0.0141227948892508	-0.0172947489658469
Otu203	0.0102464843680198	0.00909573142301937	0.015704572916458
Otu204	0.00406932234659705	0.0208632774239798	-0.00337564825804433
Otu205	0.0336235103343325	-0.0128604943582619	0.03613516104946
Otu206	-0.0187372155794989	0.0390671494011847	-0.0154861936424106
Otu207	0.00544164916434076	-0.00166916703687871	0.00273706502249221
Otu208	0.020076769922237	-0.00352388017431737	0.00390559838126525
Otu209	0.029352392792073	-0.0221576010925462	-0.0620002544191268
Otu21	0.027146521841861	-0.0151878765427515	-0.0534584616143383
