Comp1	Comp2	Comp3
Otu1	-0.200448041878052	-0.071831670664607	-0.016632949864678
Otu10	0.0361634662249031	0.109429030418137	0.0127885218747311
Otu100	0.00563194175137979	-0.00161286545768111	-0.000278525378111583
Otu101	0.0293757789116912	-0.0110703513402206	-0.0115828822184452
Otu102	0.00745932913308543	0.0012549471980719	-0.00746540974430089
Otu103	0.00625099778175078	0.00839796300659723	0.00241798180910246
Otu104	0.0064532757068152	-0.000203108172535911	0.00313742225438325
Otu105	-0.0170660744073567	-0.00255801653637296	0.00406154349609256
Otu106	0.0109135154235054	-0.00382977416462304	-0.00322448029289565
Otu107	0.000296862603268251	0.00280314180733552	-0.00114476717330789
Otu108	0.0103902529213361	-0.00429242208377305	-0.00553314954467367
Otu109	0.0112647348234253	-0.00289014809333318	-0.00325562839528964
Otu11	0.011252876482287	0.0556582277545894	-0.0125720618613258
Otu110	-0.0119151638309149	0.022835387799805	-0.00596883384965034
Otu111	-0.000651717447933787	0.00167733232364669	-0.000617440096328675
Otu112	0.00631861571121946	-0.00331887130871044	-0.00606541849938437
Otu113	0.0278737839469456	-0.00828642111255025	-0.0152000389304103
Otu114	0.0127264937716958	0.0113262605052234	0.0250728566573565
Otu115	0.0152068495479082	0.0103461497257955	-0.00153055089232621
Otu116	0.00394542931498819	0.0219034986503728	-0.000407776518551116
Otu117	0.0305251496919651	-0.00352114683702157	0.0183887378165432
Otu118	-0.008098934354949	0.0220166504331733	0.0024142990539596
Otu119	0.00574042619328401	0.0137545482331003	0.00985193892477297
Otu12	-0.0987541045551513	-0.0271407903069542	0.00204657795169931
Otu120	0.0173249296158736	-0.0042006618329984	0.00818387777582737
Otu121	0.00708681355977806	0.0242667311821483	-0.00180230868515392
Otu122	0.0133473068369605	-0.00449383291197179	-0.00321934419693699
Otu123	0.00131752245267675	-0.000692032506266594	-0.00126472718441007
Otu124	0.00186325812130653	-0.000978681755965261	-0.00178859433689466
Otu125	0.000754759922633823	-0.00165126354398006	0.000633506673695684
Otu126	0.0311561229801448	-0.000546505842098007	0.0303841422830601
Otu128	0.00559008195637588	-0.00226354265507272	-0.0028022106253044
Otu129	0.00721636767350591	-0.00379041814209049	-0.00692719607991393
Otu13	-0.0281410940425129	-0.0706049429775293	0.0103985568484138
Otu130	0.0153820636322479	0.000582204943330993	0.0114063062243953
Otu131	0.0332254103202504	-0.0085278448221892	0.00211953398514872
Otu132	0.00187759765160101	0.000517909189009347	0.00393062309654109
Otu133	0.0109210864871882	-0.000544303135497087	0.00307513072411208
Otu134	0.00414386412046392	0.00321020258289037	-0.00346790817735173
Otu135	0.000510838151918847	0.0229357997644167	-0.00111671703966562
Otu136	0.00320882413324184	0.00466540596338811	0.0057565225470743
Otu137	0.00374085577290754	-0.000460772566955915	0.00214202875964643
Otu139	0.000510433829759246	0.00367551348584003	-0.00287974810487741
Otu14	0.00925775121076445	-0.00548832126886433	0.00245975087827419
Otu140	-0.000651717447933787	0.00167733232364669	-0.000617440096328675
Otu141	0.00339275164499989	0.00145127316929341	0.000113009648117528
Otu142	0.00246998557688988	0.000710312892863054	-0.00105018374988114
Otu143	0.0199812173067782	-0.0104951925965088	-0.0191805374201752
Otu144	0.00815100334140409	-0.000918017366003096	0.00499495888456637
Otu145	0.00270294531798129	-0.000747065725405924	-3.07662493353457e-05
Otu146	-0.0014024497267177	-0.0011908470682728	0.000140405770546439
Otu147	-0.0156920551107339	-0.009975438971658	0.00839126651948653
Otu148	0.00446151777736337	-0.000603213453734878	-0.000463153902571855
Otu149	0.00253528542626952	0.00261617082146644	0.00324545975530739
Otu15	0.0733232130406693	-0.027165688669995	0.00680269646175003
Otu150	0.0019174501157953	0.00238347040239678	-0.000707653025038575
Otu151	0.0218859419197392	0.00589150082472543	-0.00891342169592448
Otu152	-0.000651717447933787	0.00167733232364669	-0.000617440096328675
Otu153	-6.04746227291995e-05	-0.000597579918051054	0.00173468910348403
Otu154	-0.00412583113780839	0.00263504153392351	0.00428175536667324
Otu155	0.0050499869293432	-0.00360950588885006	-0.00109541748566001
Otu156	0.018378263219352	-0.00848814776221473	-0.0132010672736833
Otu157	0.00755194854534821	-0.00131017621654517	0.00765316697829529
Otu16	-0.00668026861879937	-0.0704162716673162	0.0311251516863528
Otu160	0.0116264507758109	-0.00476149878501958	-0.00603282467296356
Otu161	0.00292605712879452	0.000550952121339459	-0.00137299980022249
Otu162	-0.00201226593082412	-0.00335460604715191	0.00148204316546082
Otu163	0.0285008953626509	-0.00811032278779996	-0.0012123957382567
Otu164	0.00678938541666908	0.00113979613863933	0.00205135001491889
Otu165	0.00721071371477322	0.00505315680076311	0.000779808694100458
Otu166	0.00487165230786301	0.0017082414385936	0.0052561605605651
Otu167	0.0105731738379283	-0.00446468217559194	8.86660772811863e-05
Otu169	0.00140910671441664	0.00809388154466184	-0.000615823962604211
Otu17	0.018669626958532	0.00112738562806375	0.00909686792121532
Otu171	0.0024627787810051	0.00333928843168566	0.00113654950573312
Otu172	0.00461244270319071	0.00207051568843593	0.00374427500932013
Otu173	0.00975039960833841	-0.00299427489896528	-0.0012520238324061
Otu174	0.0070101906858544	-0.0037070293482494	-0.000683413641987599
Otu175	0.0097854243894103	0.000113852501838292	0.0106311399855283
Otu176	0.0128515716144404	0.00275947101606863	-0.000966833565404655
Otu177	0.00682464547152953	-0.00147967471855708	-0.000554743711821938
Otu178	0.00493733989172292	-0.0004662012621683	0.00336816875059356
Otu179	-0.00202726989988876	0.00421917453073157	-0.000611703095226038
Otu18	0.00365100841207355	0.00507152758500353	-0.00117101132941288
Otu180	0.000187969748740979	0.00190894835420602	0.00114038799123064
Otu181	0.000701824234038828	0.0115666420165297	-4.72785563300233e-05
Otu182	0.00218883127641186	0.00232771378254456	0.000186615604258222
Otu183	0.0065511257768062	0.000777176663574378	0.000834959476844224
Otu184	-0.00184333530740629	0.00474421224141584	-0.00174638431636193
Otu185	0.00212925272980064	0.00517057366226214	0.00639606450816523
Otu186	-0.00332950841687999	0.00627086077028371	-0.00198381794237723
Otu187	0.00301115383307498	0.00365546522403668	-0.00060831454069072
Otu188	0.00956225887393306	0.000265495797027411	-0.00453229968184481
Otu189	0.00540589063596259	-0.00149413145081185	-6.15324986706913e-05
Otu19	0.0586563894437586	-0.0193537754006573	-0.00349627298561115
Otu190	0.00679932149300998	-0.00216800044187788	0.000504194813271205
Otu191	0.00754449591488669	-0.00112362979605441	-0.00275223549917196
Otu193	0.0141329203760745	-0.000831053470572868	-0.00110288664997164
Otu194	0.00239597135470916	0.00179459509751886	0.000382861063548746
Otu195	-0.00388414095975526	-0.00242702624503332	0.00197701262488258
Otu196	-0.00750229793549095	0.00623650308458854	-0.00215883402466042
Otu197	-0.000416885847601366	0.000816940540575794	-0.000842075518527678
Otu199	0.000680420601833301	0.00797977831819042	-0.00841595087856721
Otu2	0.0370913314666717	-0.00590467532465037	0.00719232089461383
Otu20	-0.000302786253256533	0.0552391858724195	0.00489869190916491
Otu200	-0.00431083560718864	0.0082011210659456	0.000810996407500853
Otu201	0.00145438088710577	0.000401170732776198	0.00304464755862437
Otu202	0.0112585168468194	-0.00389557624035312	-0.00311576680302372
Otu203	0.00406196987036	0.00250893080994305	0.00282928575866548
Otu204	0.00161318401228911	0.00575484445296385	-0.000608146021770505
Otu205	0.0133292240546492	-0.00354738822266491	0.00650999534264183
Otu206	-0.00742791404395352	0.0107761289588235	-0.00278994324528821
